timestamp_ms,total_containers
1415047886834.4,0
1415047888419.95,0
1415047889444.96,0
1415047890460.33,0
1415047891475.39,0
1415047892500.63,0
1415047893515.5,0
1415047894528.23,0
1415047895540.83,0
1415047896567.75,0
1415047897590.15,0
1415047898612.75,2
1415047899663.98,15
1415047900704.13,28
1415047901725.53,40
1415047902753.4,52
1415047903774.88,63
1415047904836.91,73
1415047905863.88,84
1415047906890.58,94
1415047907942.34,105
1415047909036.29,115
1415047910074.33,126
1415047911266.19,136
1415047912355.78,146
1415047913390.55,155
1415047914490.64,165
1415047915597.97,174
1415047916715.62,183
1415047917793.76,192
1415047918899.24,201
1415047920010.54,209
1415047921108.37,218
1415047922191.89,227
1415047923328.13,235
1415047924390.29,243
1415047925434.22,244
1415047926633.23,252
1415047927685.54,260
1415047928753.83,268
1415047929852.98,276
1415047931069.86,284
1415047932198.68,292
1415047933249.72,299
1415047934414.21,306
1415047935524.81,313
1415047936584.92,321
1415047937752.22,328
1415047938809.5,335
1415047939984.39,342
1415047941094.29,349
1415047942201.03,356
1415047943307.08,362
1415047944368.19,369
1415047945470.65,376
1415047946608.71,383
1415047947776.61,389
1415047948892.96,396
1415047949951.9,402
1415047951101.16,409
1415047952273.98,415
1415047953431.97,422
1415047954504.72,427
1415047955586.79,433
1415047956666.31,439
1415047957879.34,445
1415047958972.47,451
1415047960061.27,457
1415047961135.63,463
1415047962351.47,469
1415047963477.43,475
1415047964597.12,480
1415047965681.47,486
1415047966814.47,492
1415047967954.86,498
1415047969087.6,503
1415047970170.82,509
1415047971323.19,515
1415047972482.55,521
1415047973644.45,526
1415047974786.15,532
1415047975983.94,538
1415047977187.77,543
1415047978329.23,549
1415047979541.09,555
1415047980779.16,561
1415047982025.96,566
1415047983192.92,572
1415047984458.79,578
1415047985536.58,582
1415047986741.46,587
1415047987839.17,592
1415047988927.48,598
1415047990185.12,603
1415047991424.66,608
1415047992560.27,613
1415047993698.88,618
1415047995034.81,623
1415047996186.67,628
1415047997323.41,633
1415047998473.22,638
1415047999722.73,643
1415048000902.5,648
1415048002051.34,653
1415048003190.82,657
1415048004314.02,662
1415048005494.88,667
1415048006679.01,672
1415048008013.83,677
1415048009236.7,682
1415048010441.92,687
1415048011680.44,691
1415048012826.04,696
1415048014047.55,701
1415048015270.13,706
1415048016626.63,711
1415048017898.66,716
1415048019165.64,721
1415048020425.05,725
1415048021584.78,730
1415048022849.92,735
1415048024113.96,739
1415048025290.21,744
1415048026575.8,749
1415048027863.46,754
1415048029128.32,758
1415048030336.68,763
1415048031445.78,767
1415048032753.15,771
1415048033971.65,776
1415048035310.95,781
1415048036639.78,786
1415048038121.81,791
1415048039446.81,795
1415048040562.13,799
1415048041670.49,803
1415048042930.64,807
1415048044059.14,811
1415048045179.08,815
1415048046302.94,819
1415048047557.32,823
1415048048692.65,827
1415048049822.33,831
1415048050976.54,835
1415048052245.16,839
1415048053394.83,843
1415048054540.26,847
1415048055815.49,851
1415048056985.02,855
1415048058154.14,859
1415048059324.57,863
1415048060629,867
1415048061796.06,871
1415048062953.64,875
1415048064294.27,879
1415048065463.36,883
1415048066634.44,887
1415048067812.44,891
1415048069151.5,895
1415048070367.93,899
1415048071573.47,903
1415048072918.72,907
1415048074142.29,911
1415048075358.16,915
1415048076567.02,919
1415048077927.29,923
1415048079148.84,927
1415048080362.86,931
1415048081735.19,935
1415048082967.71,939
1415048084215.79,943
1415048085442.74,947
1415048086629.75,950
1415048087825.04,954
1415048089075.67,958
1415048090479.52,962
1415048091734.65,966
1415048092994.59,970
1415048094248.61,973
1415048095401.83,977
1415048096649.1,981
1415048097911.57,985
1415048099354.05,989
1415048100637.64,993
1415048101926.45,997
1415048103209.01,1000
1415048104383.59,1000
1415048105499.43,996
1415048106668.71,992
1415048107801.41,988
1415048108984.25,983
1415048110158.1,978
1415048111271.04,974
1415048112456.9,970
1415048113651.18,965
1415048114864.51,960
1415048116059.44,955
1415048117239.86,951
1415048118393.32,947
1415048119507.32,942
1415048120679.05,937
1415048122042.36,932
1415048123215.75,927
1415048124365.18,922
1415048125473.21,918
1415048126811.62,913
1415048127992.77,908
1415048129180.01,903
1415048130363.68,899
1415048131543.25,894
1415048132711.98,889
1415048133889.52,884
1415048135053.19,880
1415048136176.98,875
1415048137317.44,870
1415048138443.59,865
1415048139557.92,861
1415048140666.88,856
1415048141771.33,851
1415048142874.89,846
1415048143984.35,841
1415048145113.45,836
1415048146285.84,831
1415048147454.99,826
1415048148552.95,821
1415048149730.23,816
1415048150915.25,811
1415048152022.3,805
1415048153153.19,801
1415048154317.61,796
1415048155414.08,790
1415048156536.16,785
1415048157682.39,780
1415048158773.94,775
1415048159948.64,769
1415048161037.44,764
1415048162147.74,760
1415048163292.96,754
1415048164452.13,749
1415048165581.01,743
1415048166707.06,739
1415048167814.86,733
1415048168944.12,728
1415048170086.24,723
1415048171242.56,718
1415048172406.94,712
1415048173490.01,707
1415048174646.72,701
1415048175814.62,696
1415048176984.62,690
1415048178153.67,684
1415048179287.27,678
1415048180365.34,674
1415048181465.99,668
1415048182585.6,663
1415048183702.29,657
1415048184820,651
1415048186035.19,645
1415048187111.41,640
1415048188255.46,634
1415048189328.93,629
1415048190607.53,623
1415048191789.69,617
1415048192903.36,611
1415048194007.8,605
1415048195094.96,600
1415048196212.87,594
1415048197359.46,588
1415048198498.45,582
1415048199585.8,576
1415048200655.09,570
1415048201742.46,564
1415048202838.21,552
1415048204904.61,547
1415048205972.08,540
1415048207066.02,534
1415048208159.72,527
1415048209225.03,522
1415048210292.42,516
1415048211388.31,509
1415048212451.5,502
1415048213513.1,496
1415048214576.42,490
1415048215667.68,483
1415048216737.69,476
1415048217843.43,469
1415048218933.35,463
1415048219990.84,456
1415048221080.21,449
1415048222164.8,442
1415048223262.61,435
1415048224349.4,428
1415048225407.27,422
1415048226463.19,415
1415048227541.59,408
1415048228594.28,402
1415048229663.12,395
1415048230714.81,388
1415048231807.64,381
1415048232856.2,375
1415048233919.07,368
1415048235002.01,361
1415048236048.75,354
1415048237095.78,348
1415048238175.92,341
1415048239255.73,334
1415048240330.85,327
1415048241386.48,320
1415048242432.14,312
1415048243476.69,304
1415048244540.09,296
1415048245581.57,289
1415048246630.49,282
1415048247670.62,274
1415048248710.4,266
1415048249750.67,259
1415048250800.25,250
1415048251838.31,242
1415048252876.23,235
1415048253913.56,227
1415048254956.25,218
1415048255990.67,209
1415048257024.56,201
1415048258083.47,192
1415048259114.2,184
1415048260165.32,176
1415048261195.47,167
1415048262223.99,159
1415048263262.16,149
1415048264289.6,132
1415048266315.98,123
1415048267340.56,114
1415048268364.48,107
1415048269388.75,97
1415048270413,88
1415048271433.97,80
1415048272454.7,70
1415048273474.79,69
1415048274494.91,58
1415048275514.17,49
1415048276533.2,39
1415048277549.01,29
1415048278565.47,29
1415048279582.02,17
1415048280597.07,7
1415048281610.72,0
1415048282626.34,0
1415048283641.81,0
1415048284655.16,0
1415048285668.97,0
1415048286682.03,0
1415048287697.27,0
1415048288711.26,0
1415048289724.83,0
1415048290737.77,0
1415048291751.85,0
