timestamp_client_hostname:all_ms,client_hostname:all,timestamp_client_hostname:perf36-1_ms,client_hostname:perf36-1,timestamp_client_hostname:perf36-2_ms,client_hostname:perf36-2,timestamp_client_hostname:perf36-3_ms,client_hostname:perf36-3,timestamp_client_hostname:perf36-4_ms,client_hostname:perf36-4,timestamp_client_hostname:perf36-5_ms,client_hostname:perf36-5,timestamp_client_hostname:perf84-1_ms,client_hostname:perf84-1,timestamp_client_hostname:perf84-2_ms,client_hostname:perf84-2,timestamp_client_hostname:perf84-3_ms,client_hostname:perf84-3,timestamp_client_hostname:perf84-4_ms,client_hostname:perf84-4,timestamp_client_hostname:perf84-5_ms,client_hostname:perf84-5
1000,2087983.8,1000,1273222,1000,1269273,1000,1271100,1000,1266945,1000,1271294,1000,2905702,1000,2905525,1000,2905984,1000,2905469,1000,2905324
2000,2116155.2,2000,1355351,2000,1356100,2000,1353251,2000,1357672,2000,1367144,2000,2874921,2000,2873502,2000,2875252,2000,2874431,2000,2873928
3001,4596732.11808964,3001,6019655,3000,6020913,3000,6027707,3003,6031105,3000,5990853,3001,3174165,3000,3179809,3000,3180371,3000,3179054,3000,3175320
4003,4273631.19555993,4003,5749951,4002,5757576,4004,5760757,4000,5751528,4000,5740660,4000,2795383,4000,2797099,4000,2793959,4000,2794823,4000,2795654
5002,4232612.67520566,5002,5766638,5000,5767751,5003,5771676,5001,5772605,5002,5757373,5000,2697894,5000,2697086,5000,2697509,5000,2697732,5000,2697586
6004,4342002.48773667,6004,5753173,6003,5752586,6000,5752111,6002,5751722,6000,5752944,6000,2932915,6000,2931644,6001,2931039,6000,2931287,6000,2930547
7001,4344438.93005828,7001,5758150,7000,5756972,7002,5749039,7000,5756291,7003,5762645,7000,2933331,7000,2932176,7000,2932169,7000,2931590,7000,2932672
8004,4282758.79708158,8004,5758840,8001,5777153,8001,5771417,8003,5761024,8000,5751641,8000,2802929,8000,2801289,8000,2801635,8000,2801054,8000,2800730
9004,4280669.20351261,9004,5770775,9001,5775947,9002,5776535,9000,5756755,9000,5769527,9000,2792919,9000,2789313,9000,2791586,9000,2791013,9000,2792053
10002,4285591.31321776,10002,5763815,10001,5762377,10000,5763635,10000,5762401,10003,5762771,10000,2808232,10000,2808751,10000,2809786,10000,2808542,10000,2806562
11004,4235671.57426337,11004,5752404,11000,5738445,11000,5771516,11003,5765353,11001,5765707,11000,2711845,11000,2711193,11000,2713096,11000,2713560,11000,2710531
12001,4312291.79208187,12001,5759560,12003,5758420,12004,5758200,12000,5760057,12000,5759828,12000,2863236,12000,2864748,12000,2867456,12000,2864864,12000,2865446
13004,4461110.37554464,13004,5889139,13000,5886659,13001,5890973,13003,5889617,13000,5882056,13000,3034387,13000,3034654,13000,3037088,13000,3035592,13000,3035591
14003,4328436.40769837,14003,5799931,14000,5811270,14001,5805176,14002,5806147,14000,5798146,14000,2860890,14000,2865507,14000,2838979,14000,2851103,14000,2842307
,,15003,5875528,15000,5863815,15000,5864353,15001,5868015,15002,5859940,15007,1802439,15000,1665361,15011,4661871,15022,3016781,15013,4612773
,,15004,5299323,15004,10038548,15004,8389452,15002,5928806,15003,5860355,15023,673435710,15024,194758613,15023,1017528548,15033,988907419,15024,1023111452
