timestamp_client_hostname:all_ms,client_hostname:all,timestamp_client_hostname:perf36-1_ms,client_hostname:perf36-1,timestamp_client_hostname:perf36-2_ms,client_hostname:perf36-2,timestamp_client_hostname:perf36-3_ms,client_hostname:perf36-3,timestamp_client_hostname:perf36-4_ms,client_hostname:perf36-4,timestamp_client_hostname:perf36-5_ms,client_hostname:perf36-5,timestamp_client_hostname:perf84-1_ms,client_hostname:perf84-1,timestamp_client_hostname:perf84-2_ms,client_hostname:perf84-2,timestamp_client_hostname:perf84-3_ms,client_hostname:perf84-3,timestamp_client_hostname:perf84-4_ms,client_hostname:perf84-4,timestamp_client_hostname:perf84-5_ms,client_hostname:perf84-5
1000,179757,1000,24889,1000,24978,1000,24930,1000,25010,1000,24918,1000,11008,1000,11007,1000,11007,1000,11002,1000,11008
2000,171209.713286713,2000,23148,2000,23086,2000,23150,2000,23118,2000,23144,2001,11101,2001,11107,2000,11132,2000,11122,2001,11102
3000,76803,3000,5312,3000,5281,3000,5311,3000,5316,3000,5309,3000,10066,3000,10044,3000,10052,3000,10053,3000,10059
4000,84780,4000,5536,4000,5535,4000,5536,4000,5505,4000,5508,4000,11430,4000,11428,4000,11424,4000,11434,4000,11444
5000,86772,5000,5504,5000,5504,5000,5504,5000,5504,5000,5535,5000,11849,5000,11849,5000,11843,5000,11840,5000,11840
6000,82158,6000,5536,6000,5536,6000,5505,6000,5535,6000,5514,6000,10906,6000,10906,6000,10910,6000,10904,6000,10906
7000,82063,7000,5504,7000,5504,7000,5535,7000,5505,7000,5526,7000,10880,7000,10893,7000,10912,7000,10910,7000,10894
8000,84637,8000,5536,8000,5504,8000,5504,8000,5538,8000,5536,8000,11408,8000,11406,8000,11392,8000,11402,8000,11411
9000,84751,9000,5504,9000,5504,9000,5504,9000,5505,9000,5499,9000,11440,9000,11455,9000,11456,9000,11446,9000,11438
10000,84481.04995005,10000,5504,10000,5505,10000,5504,10000,5535,10000,5509,10000,11395,10000,11391,10000,11374,10000,11376,10001,11388
11000,86468.607,11000,5536,11000,5536,11000,5505,11000,5504,11000,5504,11000,11778,11000,11780,11000,11768,11000,11777,11001,11781
12000,83325,12000,5504,12000,5535,12000,5535,12000,5504,12000,5536,12000,11141,12000,11142,12000,11133,12000,11153,12000,11142
13000,79576,13000,5408,13000,5377,13000,5380,13000,5408,13000,5376,13000,10538,13000,10527,13000,10529,13000,10513,13000,10520
14000,82617,14000,5476,14000,5472,14000,5472,14000,5472,14000,5504,14000,11061,14000,11066,14000,11052,14000,11061,14000,10981
15000,5408,15000,5408,15000,5409,15000,5416,15000,5408,15000,5408,15000,6750,15000,16165,15000,373,15000,942,15000,396
