timestamp_client_hostname:all_ms,client_hostname:all,timestamp_client_hostname:perf36-1_ms,client_hostname:perf36-1,timestamp_client_hostname:perf36-2_ms,client_hostname:perf36-2,timestamp_client_hostname:perf36-3_ms,client_hostname:perf36-3,timestamp_client_hostname:perf36-4_ms,client_hostname:perf36-4,timestamp_client_hostname:perf36-5_ms,client_hostname:perf36-5,timestamp_client_hostname:perf84-1_ms,client_hostname:perf84-1,timestamp_client_hostname:perf84-2_ms,client_hostname:perf84-2,timestamp_client_hostname:perf84-3_ms,client_hostname:perf84-3,timestamp_client_hostname:perf84-4_ms,client_hostname:perf84-4,timestamp_client_hostname:perf84-5_ms,client_hostname:perf84-5
1000,2095859.7,1000,1285976,1000,1282006,1000,1283765,1000,1279598,1000,1284019,1000,2908702,1000,2908567,1000,2909056,1000,2908541,1000,2908367
2000,2124503.9,2000,1369069,2000,1369583,2000,1367045,2000,1370843,2000,1380618,2000,2878024,2000,2876791,2000,2878309,2000,2877466,2000,2877291
3001,4619755.10519336,3001,6059496,3000,6067007,3000,6067069,3003,6072287,3000,6038416,3001,3177505,3000,3183197,3000,3183436,3000,3182031,3000,3178807
4003,4295205.41034473,4003,5789683,4002,5797706,4004,5799976,4000,5791800,4000,5781673,4000,2798473,4000,2800205,4000,2796738,4000,2798037,4000,2798842
5002,4254219.23082453,5002,5805769,5000,5807605,5003,5812336,5001,5813618,5002,5797686,5000,2700752,5000,2700161,5000,2700538,5000,2700801,5000,2700651
6004,4363558.20286166,6004,5792424,6003,5792421,6000,5792676,6002,5792573,6000,5792802,6000,2935930,6000,2934790,6001,2933890,6000,2934423,6000,2933594
7001,4366009.03501406,7001,5796878,7000,5797039,7002,5789724,7000,5797013,7003,5802939,7000,2936287,7000,2935172,7000,2935101,7000,2934884,7000,2935699
8004,4304425.7371422,8004,5797948,8001,5818117,8001,5811889,8003,5801209,8000,5791697,8000,2805923,8000,2804515,8000,2804778,8000,2804346,8000,2803958
9004,4302369.63712432,9004,5810102,9001,5816922,9002,5816622,9000,5796758,9000,5810312,9000,2796098,9000,2792697,9000,2794506,9000,2794252,9000,2795161
10002,4307226.56121477,10002,5803436,10001,5803145,10000,5803247,10000,5803108,10003,5802802,10000,2811384,10000,2811976,10000,2812688,10000,2811798,10000,2809632
11004,4257661.67745659,11004,5791889,11000,5778706,11000,5812463,11003,5805436,11001,5805819,11000,2715613,11000,2715059,11000,2716889,11000,2717274,11000,2714400
12001,4334341.83052068,12001,5799503,12003,5799097,12004,5798954,12000,5799436,12000,5799591,12000,2867221,12000,2868604,12000,2871535,12000,2869488,12000,2868886
13004,4483763.92517718,13004,5930868,13000,5930082,13001,5932600,13003,5928927,13000,5921903,13000,3038300,13000,3038820,13000,3041390,13000,3040412,13000,3038996
14003,4350715.29853165,14003,5839510,14000,5852670,14001,5845904,14002,5845782,14000,5838574,14000,2864783,14000,2869730,14000,2843538,14000,2855937,14000,2845813
,,15003,5915936,15000,5907276,15000,5906165,15001,5907201,15002,5900202,15007,1806001,15000,1669344,15011,4666334,15022,3021502,15013,4615882
,,15004,5303194,15004,10081161,15004,8394806,15002,5932774,15003,5864129,15023,673437935,15024,194762903,15023,1017532226,15033,988912903,15024,1023115194
