timestamp_client_hostname:all_ms,client_hostname:all,timestamp_client_hostname:perf36-1_ms,client_hostname:perf36-1,timestamp_client_hostname:perf36-2_ms,client_hostname:perf36-2,timestamp_client_hostname:perf36-3_ms,client_hostname:perf36-3,timestamp_client_hostname:perf36-4_ms,client_hostname:perf36-4,timestamp_client_hostname:perf36-5_ms,client_hostname:perf36-5,timestamp_client_hostname:perf84-1_ms,client_hostname:perf84-1,timestamp_client_hostname:perf84-2_ms,client_hostname:perf84-2,timestamp_client_hostname:perf84-3_ms,client_hostname:perf84-3,timestamp_client_hostname:perf84-4_ms,client_hostname:perf84-4,timestamp_client_hostname:perf84-5_ms,client_hostname:perf84-5
1000,7717.5,1000,12609,1000,12592,1000,12516,1000,12500,1000,12578,1000,2824,1000,2871,1000,2907,1000,2901,1000,2877
2000,8265.38371628372,2000,13616,2000,13570,2001,13680,2000,13068,2000,13699,2000,2935,2000,3128,2000,2901,2000,2871,2000,3187
3003,22628.9338874025,3003,39837,3000,45099,3001,39226,3004,41026,3000,45761,3001,3169,3000,3209,3000,2898,3000,2817,3000,3307
4004,21428.5964600377,4004,39395,4003,39971,4005,39104,4001,40152,4000,41106,4000,2920,4000,2944,4000,2632,4000,3048,4000,3017
5003,21452.2115398411,5003,39009,5002,39727,5005,40523,5001,40864,5004,40144,5000,2701,5000,2905,5000,2861,5000,2888,5000,2902
6005,21385.5028255574,6005,39110,6004,39702,6000,40223,6003,40704,6000,39741,6000,2846,6000,2985,6001,2680,6000,2974,6000,2885
7002,21449.8654688404,7002,38598,7001,39949,7003,40821,7000,40598,7004,40156,7000,2785,7000,2842,7000,2770,7000,3115,7000,2865
8005,21507.2891503511,8005,38978,8002,40827,8003,40274,8004,40037,8000,39918,8000,2820,8000,3066,8000,2967,8000,3123,8000,3060
9005,21558.6213167919,9005,39197,9002,40846,9003,40019,9001,39872,9000,40646,9000,3009,9000,3211,9000,2762,9000,3077,9000,2951
10003,21484.3365748222,10003,39486,10001,40680,10002,39419,10000,40587,10004,39889,10000,2981,10000,3060,10000,2743,10001,3092,10000,2898
11005,21820.9510255374,11005,39349,11000,40079,11001,40821,11004,39941,11002,39987,11000,3583,11000,3680,11000,3605,11000,3513,11000,3647
12003,21887.1823535551,12003,39854,12004,40558,12005,40630,12001,39235,12000,39634,12000,3770,12000,3663,12000,3873,12000,4401,12000,3252
13005,22477.693751931,13005,41544,13000,43293,13002,41501,13004,39172,13001,39710,13000,3702,13000,3968,13000,4098,13000,4587,13000,3210
14005,22113.9503397222,14005,39446,14001,41270,14002,40596,14004,39555,14000,40313,14000,3692,14000,4016,14000,4334,14000,4599,14000,3316
,,15004,40071,15000,43339,15004,41477,15002,38790,15003,39905,15023,3344,15024,3768,15023,4250,15033,4505,15024,2939
