timestamp_ms,fedora-home-read,fedora-home-write,fedora-root-read,fedora-root-write,fedora-swap-read,fedora-swap-write,luks-ea06d19b-489f-4236-8918-c95c91e3417c-read,luks-ea06d19b-489f-4236-8918-c95c91e3417c-write,sda-read,sda-write
1424886532000,27.33,4.00,72.33,76.67,0.00,6710.33,99.67,6791.00,88.33,89.67
1424886535000,13.33,3.67,0.33,14.33,0.00,1370.33,13.67,1389.00,11.00,245.67
1424886538000,267.33,2.00,2.00,6.67,0.00,0.00,269.33,9.00,261.00,36.33
1424886541000,0.00,6.33,0.00,0.00,0.00,0.00,0.00,6.67,0.00,6.67
1424886544000,0.00,98.33,9.00,3.67,0.00,0.00,9.00,102.33,9.00,102.33
1424886547000,0.00,3.67,0.00,0.00,0.00,0.00,0.00,4.00,0.00,4.00
1424886550000,0.00,23.67,0.00,2.67,0.00,0.00,0.00,26.67,0.00,26.67
1424886553000,0.00,10.00,1.00,37.33,0.00,0.00,1.00,48.00,1.00,44.00
1424886556000,0.00,2.33,0.00,6.67,0.00,0.00,0.00,9.33,0.00,9.33
1424886559000,0.00,24.67,110.00,0.33,0.00,0.00,110.00,25.33,110.00,24.67
1424886562000,0.00,2.00,0.33,6.33,0.00,0.00,0.33,8.67,0.33,8.67
1424886565000,0.00,24.67,4.00,0.00,0.00,0.00,4.00,25.00,4.00,25.00
1424886568000,0.00,5.00,14.00,3.67,0.00,0.00,14.00,9.00,13.00,9.00
1424886571000,0.00,4.33,29.00,26.33,0.00,0.00,29.00,31.00,29.00,31.00
1424886574000,0.00,2.33,2.67,11.00,0.00,0.00,2.67,13.67,2.67,13.67
1424886577000,0.00,4.00,11.67,0.00,0.00,0.00,11.67,4.33,11.67,4.33
1424886580000,12.67,5.00,36.00,34.00,0.00,0.00,48.67,39.33,26.33,33.33
1424886583000,4.67,9.00,9.67,0.00,0.00,0.00,14.33,9.67,14.33,9.67
1424886586000,0.00,2.33,0.00,7.33,0.00,0.00,0.00,10.00,0.00,3.33
1424886589000,0.00,6.00,0.33,31.67,0.00,0.00,0.33,38.00,0.33,36.00
1424886592000,0.00,2.00,0.00,7.67,0.00,0.00,0.00,10.00,0.00,10.67
