timestamp_ms,fedora-home-read,fedora-home-write,fedora-root-read,fedora-root-write,fedora-swap-read,fedora-swap-write,luks-ea06d19b-489f-4236-8918-c95c91e3417c-read,luks-ea06d19b-489f-4236-8918-c95c91e3417c-write,sda-read,sda-write
1424886532000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.67,4768.00
1424886535000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2779.67
1424886538000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.33,6.00
1424886541000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1424886544000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1424886547000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1424886550000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1424886553000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00
1424886556000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1424886559000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67
1424886562000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1424886565000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1424886568000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
1424886571000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1424886574000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1424886577000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1424886580000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.33,6.00
1424886583000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1424886586000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67
1424886589000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.33
1424886592000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
