timestamp_ms,fedora-home,fedora-root,fedora-swap,luks-ea06d19b-489f-4236-8918-c95c91e3417c,sda
1424886532000,95.66,25.40,8.00,8.77,187.48
1424886535000,161.25,68.55,8.00,10.49,146.09
1424886538000,25.79,11.69,0.00,25.32,38.21
1424886541000,116.21,0.00,0.00,110.40,110.40
1424886544000,15.51,33.26,0.00,17.49,17.49
1424886547000,5.82,0.00,0.00,5.33,5.33
1424886550000,15.44,8.00,0.00,14.50,14.50
1424886553000,6.13,24.14,0.00,20.14,21.93
1424886556000,8.00,8.00,0.00,7.71,7.71
1424886559000,16.32,51.96,0.00,45.34,45.56
1424886562000,6.67,8.00,0.00,7.41,7.41
1424886565000,30.92,45.33,0.00,32.55,32.55
1424886568000,58.13,9.96,0.00,20.29,21.21
1424886571000,63.38,38.22,0.00,39.82,39.82
1424886574000,9.14,9.95,0.00,9.63,9.63
1424886577000,31.33,34.29,0.00,32.83,32.83
1424886580000,13.74,17.90,0.00,17.00,25.07
1424886583000,6.63,102.07,0.00,44.89,44.89
1424886586000,6.86,8.00,0.00,7.47,22.40
1424886589000,6.67,16.58,0.00,14.89,15.56
1424886592000,6.67,8.00,0.00,7.47,7.50
