timestamp_ms,fedora-home-read,fedora-home-write,fedora-root-read,fedora-root-write,fedora-swap-read,fedora-swap-write,luks-ea06d19b-489f-4236-8918-c95c91e3417c-read,luks-ea06d19b-489f-4236-8918-c95c91e3417c-write,sda-read,sda-write
1424886532000,1.42,0.04,1.43,0.41,0.00,26.21,2.85,26.67,2.86,13.44
1424886535000,1.26,0.08,0.00,0.49,0.00,5.35,1.26,5.92,0.98,17.33
1424886538000,3.34,0.05,0.02,0.03,0.00,0.00,3.37,0.07,3.65,1.89
1424886541000,0.00,0.36,0.00,0.00,0.00,0.00,0.00,0.36,0.00,0.36
1424886544000,0.00,0.74,0.19,0.01,0.00,0.00,0.19,0.76,0.19,0.76
1424886547000,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01
1424886550000,0.00,0.18,0.00,0.01,0.00,0.00,0.00,0.19,0.00,0.19
1424886553000,0.00,0.03,0.02,0.44,0.00,0.00,0.02,0.47,0.02,0.47
1424886556000,0.00,0.01,0.00,0.03,0.00,0.00,0.00,0.04,0.00,0.04
1424886559000,0.00,0.20,2.79,0.01,0.00,0.00,2.79,0.20,2.79,0.20
1424886562000,0.00,0.01,0.00,0.02,0.00,0.00,0.00,0.03,0.00,0.03
1424886565000,0.00,0.37,0.09,0.00,0.00,0.00,0.09,0.37,0.09,0.37
1424886568000,0.00,0.14,0.07,0.01,0.00,0.00,0.07,0.16,0.07,0.16
1424886571000,0.00,0.13,0.72,0.31,0.00,0.00,0.72,0.45,0.72,0.45
1424886574000,0.00,0.01,0.02,0.04,0.00,0.00,0.02,0.05,0.02,0.05
1424886577000,0.00,0.06,0.20,0.00,0.00,0.00,0.20,0.06,0.20,0.06
1424886580000,0.05,0.07,0.31,0.30,0.00,0.00,0.36,0.37,0.36,0.37
1424886583000,0.02,0.03,0.48,0.00,0.00,0.00,0.50,0.03,0.50,0.03
1424886586000,0.00,0.01,0.00,0.03,0.00,0.00,0.00,0.04,0.00,0.04
1424886589000,0.00,0.02,0.00,0.26,0.00,0.00,0.00,0.28,0.00,0.27
1424886592000,0.00,0.01,0.00,0.03,0.00,0.00,0.00,0.04,0.00,0.04
