timestamp_ms,fedora-home,fedora-root,fedora-swap,luks-ea06d19b-489f-4236-8918-c95c91e3417c,sda
1424886532000,73.10,72.10,50.63,91.50,91.07
1424886535000,100.00,89.47,100.00,100.00,100.03
1424886538000,92.57,5.70,14.50,92.57,92.33
1424886541000,8.10,0.00,0.00,8.10,8.10
1424886544000,20.27,5.73,0.00,26.00,25.97
1424886547000,3.47,0.00,0.00,3.47,3.43
1424886550000,6.27,3.13,0.00,9.40,9.40
1424886553000,9.43,7.67,0.00,17.10,17.07
1424886556000,2.73,3.43,0.00,6.17,6.17
1424886559000,20.20,47.57,0.00,47.67,47.50
1424886562000,2.47,3.77,0.00,6.23,6.23
1424886565000,11.43,7.63,0.00,14.73,14.70
1424886568000,5.27,6.07,0.00,11.33,11.33
1424886571000,10.73,29.73,0.00,31.17,31.07
1424886574000,0.90,6.27,0.00,7.17,7.17
1424886577000,4.90,9.57,0.00,14.20,14.17
1424886580000,20.27,27.60,0.00,32.60,32.60
1424886583000,13.43,10.83,0.00,17.87,17.87
1424886586000,4.47,1.63,0.00,4.73,4.77
1424886589000,3.70,5.87,0.00,9.57,9.57
1424886592000,2.40,3.97,0.00,6.37,6.37
