timestamp_ms,fedora-home-read,fedora-home-write,fedora-root-read,fedora-root-write,fedora-swap-read,fedora-swap-write,luks-ea06d19b-489f-4236-8918-c95c91e3417c-read,luks-ea06d19b-489f-4236-8918-c95c91e3417c-write,sda-read,sda-write
1424886532000,61.18,127.17,25.45,78.96,0.00,164.48,35.25,163.46,21.92,240.38
1424886535000,524.80,268.82,990.00,3603.12,0.00,4339.06,536.15,4318.61,87.61,521.26
1424886538000,16.00,44.67,21.67,26.20,0.00,0.00,16.03,155919.74,13.43,873.41
1424886541000,0.00,15.26,0.00,0.00,0.00,0.00,0.00,14.50,0.00,14.50
1424886544000,0.00,100.73,25.33,11.91,0.00,0.00,25.30,97.21,25.15,92.17
1424886547000,0.00,9.64,0.00,0.00,0.00,0.00,0.00,8.83,0.00,8.75
1424886550000,0.00,61.69,0.00,41.12,0.00,0.00,0.00,58.86,0.00,58.88
1424886553000,0.00,10.23,62.67,68.08,0.00,0.00,62.67,55.08,62.67,52.34
1424886556000,0.00,12.00,0.00,64.70,0.00,0.00,0.00,49.21,0.00,49.21
1424886559000,0.00,64.76,13.40,31.00,0.00,0.00,13.40,63.46,13.32,63.34
1424886562000,0.00,12.33,15.00,60.11,0.00,0.00,15.00,46.77,15.00,46.77
1424886565000,0.00,36.30,35.83,0.00,0.00,0.00,35.83,35.80,35.83,35.53
1424886568000,0.00,35.80,23.24,42.36,0.00,0.00,23.24,37.11,22.62,37.15
1424886571000,0.00,46.00,31.05,74.37,0.00,0.00,31.03,69.60,30.94,68.89
1424886574000,0.00,3.86,58.25,76.12,0.00,0.00,58.25,61.93,58.25,61.93
1424886577000,0.00,12.50,10.06,0.00,0.00,0.00,10.03,11.54,9.97,11.46
1424886580000,10.87,45.60,21.68,160.16,0.00,0.00,18.86,144.23,20.06,162.35
1424886583000,16.71,19.07,16.97,0.00,0.00,0.00,16.88,17.76,16.79,17.76
1424886586000,0.00,19.43,0.00,17.68,0.00,0.00,0.00,17.50,0.00,18.60
1424886589000,0.00,21.89,18.00,61.35,0.00,0.00,18.00,54.58,18.00,54.43
1424886592000,0.00,12.00,0.00,80.52,0.00,0.00,0.00,64.13,0.00,60.06
