timestamp_ms,dm-0-read,dm-0-write,dm-1-read,dm-1-write,dm-2-read,dm-2-write,dm-3-read,dm-3-write,dm-4-read,dm-4-write,dm-5-read,dm-5-write,dm-6-read,dm-6-write,sda-read,sda-write,sdb-read,sdb-write,sdc-read,sdc-write,sdd-read,sdd-write,sde-read,sde-write
1427215564000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427215567000,0.00,0.00,0.00,6.33,0.00,0.00,0.00,0.00,0.33,9.00,0.00,0.00,0.00,8.33,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427215570000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427215573000,0.00,0.00,0.00,6.33,0.00,0.00,0.00,0.00,0.33,2.33,0.00,0.00,0.00,1.67,0.00,6.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427215576000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427215579000,0.00,0.00,0.00,1.33,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,1.67,0.00,1.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427215582000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.67,0.00,0.00,0.00,22.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427215585000,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,1.67,0.00,6.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427215588000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427215591000,0.00,0.00,0.00,12.33,0.00,0.00,0.00,0.00,0.33,8.67,0.00,0.00,0.00,8.00,0.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427215594000,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427215597000,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,16.00,0.00,0.00,0.00,15.67,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427215600000,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427215603000,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.33,4.00,0.00,0.00,0.00,3.33,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427215606000,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427215609000,0.00,0.00,0.00,1.33,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,1.67,0.00,1.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427215612000,0.00,0.00,0.00,1.67,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,1.67,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427215615000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427215618000,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.33,4.67,0.00,0.00,0.00,4.00,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427215621000,0.00,0.00,0.00,2.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427215624000,0.00,0.00,0.00,1.67,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,1.67,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
