timestamp_ms,dm-0,dm-1,dm-2,dm-3,dm-4,dm-5,dm-6,sda,sdb,sdc,sdd,sde
1427215564000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427215567000,0.00,16.37,0.00,0.00,16.29,0.00,8.00,17.28,0.00,0.00,0.00,0.00
1427215570000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427215573000,0.00,12.68,0.00,0.00,37.00,0.00,8.00,12.68,0.00,0.00,0.00,0.00
1427215576000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427215579000,0.00,10.50,0.00,0.00,6.67,0.00,8.00,8.40,0.00,0.00,0.00,0.00
1427215582000,0.00,0.00,0.00,0.00,8.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00
1427215585000,0.00,29.55,0.00,0.00,6.67,0.00,8.00,31.11,0.00,0.00,0.00,0.00
1427215588000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427215591000,0.00,10.46,0.00,0.00,68.44,0.00,66.33,9.92,0.00,0.00,0.00,0.00
1427215594000,0.00,79.33,0.00,0.00,0.00,0.00,0.00,87.68,0.00,0.00,0.00,0.00
1427215597000,0.00,11.00,0.00,0.00,33.00,0.00,33.70,9.17,0.00,0.00,0.00,0.00
1427215600000,0.00,64.12,0.00,0.00,0.00,0.00,0.00,80.15,0.00,0.00,0.00,0.00
1427215603000,0.00,14.94,0.00,0.00,25.85,0.00,8.00,13.45,0.00,0.00,0.00,0.00
1427215606000,0.00,8.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00
1427215609000,0.00,10.50,0.00,0.00,6.67,0.00,8.00,8.40,0.00,0.00,0.00,0.00
1427215612000,0.00,10.00,0.00,0.00,6.67,0.00,8.00,8.33,0.00,0.00,0.00,0.00
1427215615000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427215618000,0.00,12.50,0.00,0.00,23.47,0.00,8.00,12.00,0.00,0.00,0.00,0.00
1427215621000,0.00,8.43,0.00,0.00,0.00,0.00,0.00,8.43,0.00,0.00,0.00,0.00
1427215624000,0.00,10.00,0.00,0.00,6.67,0.00,8.00,8.33,0.00,0.00,0.00,0.00
