timestamp_ms,guest,idle,iowait,irq,nice,softirq,steal,sys,usr
1431993606000,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1431993616000,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1431993626000,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1431993636000,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1431993646000,0.00,99.90,0.00,0.00,0.00,0.00,0.00,0.10,0.00
1431993656000,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1431993666000,0.00,99.90,0.00,0.00,0.00,0.00,0.00,0.00,0.10
1431993676000,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1431993686000,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1431993696000,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
