timestamp_ms,guest,idle,iowait,irq,nice,softirq,steal,sys,usr
1424886532000,10.40,35.57,44.30,0.00,0.00,0.00,0.00,8.39,1.34
1424886535000,0.00,0.00,89.97,0.00,0.00,0.00,0.00,7.36,2.68
1424886538000,0.67,34.68,62.63,0.00,0.00,0.00,0.00,1.35,0.67
1424886541000,0.34,96.64,2.68,0.00,0.00,0.00,0.00,0.34,0.00
1424886544000,0.00,98.99,0.34,0.00,0.00,0.00,0.00,0.34,0.34
1424886547000,0.33,99.00,0.00,0.00,0.00,0.00,0.00,0.33,0.33
1424886550000,0.34,97.65,1.68,0.00,0.00,0.00,0.00,0.00,0.34
1424886553000,0.67,97.32,1.34,0.00,0.00,0.00,0.00,0.34,0.34
1424886556000,0.67,99.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00
1424886559000,2.64,92.74,0.00,0.00,0.00,0.00,0.00,0.99,3.63
1424886562000,0.99,97.69,0.00,0.00,0.00,0.00,0.00,0.66,0.66
1424886565000,1.01,81.54,4.36,0.00,0.00,0.00,0.00,1.01,12.08
1424886568000,0.34,94.28,0.34,0.00,0.00,0.00,0.00,0.34,4.71
1424886571000,0.00,79.87,10.74,0.00,0.00,0.00,0.00,0.34,9.06
1424886574000,0.00,96.01,3.65,0.00,0.00,0.00,0.00,0.00,0.33
1424886577000,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1424886580000,0.00,64.67,0.00,0.00,0.00,0.00,0.00,32.67,2.67
1424886583000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,91.33,8.67
1424886586000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,93.02,6.98
1424886589000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,92.33,7.67
1424886592000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,91.64,8.36
