timestamp_ms,guest,idle,iowait,irq,nice,softirq,steal,sys,usr
1424886532000,30.63,31.92,29.21,0.42,0.04,0.13,0.00,5.02,2.64
1424886535000,0.25,22.93,63.01,0.21,0.00,0.21,0.00,11.42,1.97
1424886538000,1.35,49.92,33.29,0.13,0.04,0.13,0.00,13.17,1.98
1424886541000,0.25,85.26,0.51,0.17,0.00,0.04,0.00,12.21,1.56
1424886544000,0.17,83.10,2.27,0.21,0.04,0.04,0.00,12.32,1.85
1424886547000,0.25,85.30,0.38,0.42,0.00,0.08,0.00,11.98,1.59
1424886550000,0.25,84.99,0.71,0.17,0.00,0.04,0.00,12.23,1.60
1424886553000,0.25,84.92,0.88,0.08,0.04,0.08,0.00,12.22,1.51
1424886556000,0.21,85.40,0.59,0.29,0.00,0.04,0.00,11.96,1.51
1424886559000,1.53,73.22,7.63,0.29,0.00,0.12,0.00,12.89,4.31
1424886562000,1.12,84.09,0.46,0.17,0.00,0.04,0.00,12.56,1.57
1424886565000,0.30,75.82,2.57,0.34,0.00,0.17,0.00,13.12,7.68
1424886568000,0.25,81.90,1.64,0.29,0.00,0.08,0.00,12.29,3.54
1424886571000,0.29,76.82,4.80,0.21,0.04,0.08,0.00,12.56,5.18
1424886574000,0.29,85.05,0.80,0.21,0.00,0.08,0.00,11.96,1.60
1424886577000,0.29,84.26,1.60,0.17,0.00,0.04,0.00,12.01,1.64
1424886580000,0.42,82.37,2.93,0.29,0.00,0.08,0.00,12.19,1.72
1424886583000,0.29,82.48,2.68,0.42,0.04,0.04,0.00,12.04,2.01
1424886586000,0.38,85.30,0.42,0.08,0.00,0.04,0.00,12.15,1.63
1424886589000,0.29,85.19,0.76,0.17,0.00,0.04,0.00,12.04,1.51
1424886592000,0.17,85.67,0.50,0.00,0.04,0.00,0.00,12.02,1.60
