timestamp_ms,disk.all.total_bytes
1457460323000,134.000
1457460324000,135.000
1457460325000,550.000
1457460326000,558.000
1457460327000,559.000
1457460328000,17.000
1457460329000,6.000
1457460330000,5.000
1457460331000,12.000
1457460332000,12.000
1457460333000,12.000
1457460334000,7.000
1457460335000,6.000
1457460336000,7.000
1457460337000,9.000
1457460338000,9.000
1457460339000,10.000
1457460340000,87.000
1457460341000,90.000
1457460342000,89.000
1457460343000,11.000
1457460344000,9.000
1457460345000,10.000
1457460346000,68.000
1457460347000,69.000
1457460348000,69.000
1457460349000,16.000
1457460350000,15.000
1457460351000,15.000
1457460352000,1462.000
1457460353000,1494.000
1457460354000,1495.000
1457460355000,76.000
1457460356000,44.000
1457460357000,44.000
1457460358000,8.000
1457460359000,6.000
1457460360000,7.000
1457460361000,22.000
1457460362000,23.000
1457460363000,23.000
1457460364000,1.000
1457460365000,2.000
1457460366000,1.000
1457460367000,52.000
1457460368000,53.000
1457460369000,54.000
1457460370000,6.000
1457460371000,6.000
1457460372000,5.000
1457460373000,31.000
1457460374000,32.000
1457460375000,32.000
1457460376000,1.000
1457460377000,0.000
1457460378000,0.000
