timestamp_ms,filesys.capacity["/dev/dm-2"],filesys.capacity["/dev/sda3"],filesys.capacity["/dev/dm-3"]
1457460324000,51475068.000,487652.000,177465896.000
1457460327000,51475068.000,487652.000,177465896.000
1457460330000,51475068.000,487652.000,177465896.000
1457460333000,51475068.000,487652.000,177465896.000
1457460336000,51475068.000,487652.000,177465896.000
1457460339000,51475068.000,487652.000,177465896.000
1457460342000,51475068.000,487652.000,177465896.000
1457460345000,51475068.000,487652.000,177465896.000
1457460348000,51475068.000,487652.000,177465896.000
1457460351000,51475068.000,487652.000,177465896.000
1457460354000,51475068.000,487652.000,177465896.000
1457460357000,51475068.000,487652.000,177465896.000
1457460360000,51475068.000,487652.000,177465896.000
1457460363000,51475068.000,487652.000,177465896.000
1457460366000,51475068.000,487652.000,177465896.000
1457460369000,51475068.000,487652.000,177465896.000
1457460372000,51475068.000,487652.000,177465896.000
1457460375000,51475068.000,487652.000,177465896.000
1457460378000,51475068.000,487652.000,177465896.000
