timestamp_ms,hinv.cpu.bogomips["cpu0"],hinv.cpu.bogomips["cpu1"],hinv.cpu.bogomips["cpu2"],hinv.cpu.bogomips["cpu3"],hinv.cpu.bogomips["cpu4"],hinv.cpu.bogomips["cpu5"],hinv.cpu.bogomips["cpu6"],hinv.cpu.bogomips["cpu7"]
1457460322000,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280
1457460323000,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280
1457460324000,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280
1457460325000,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280
1457460326000,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280
1457460327000,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280
1457460328000,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280
1457460329000,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280
1457460330000,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280
1457460331000,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280
1457460332000,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280
1457460333000,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280
1457460334000,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280
1457460335000,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280
1457460336000,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280
1457460337000,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280
1457460338000,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280
1457460339000,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280
1457460340000,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280
1457460341000,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280
1457460342000,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280
1457460343000,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280
1457460344000,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280
1457460345000,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280
1457460346000,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280
1457460347000,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280
1457460348000,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280
1457460349000,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280
1457460350000,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280
1457460351000,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280
1457460352000,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280
1457460353000,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280
1457460354000,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280
1457460355000,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280
1457460356000,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280
1457460357000,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280
1457460358000,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280
1457460359000,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280
1457460360000,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280
1457460361000,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280
1457460362000,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280
1457460363000,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280
1457460364000,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280
1457460365000,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280
1457460366000,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280
1457460367000,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280
1457460368000,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280
1457460369000,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280
1457460370000,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280
1457460371000,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280
1457460372000,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280
1457460373000,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280
1457460374000,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280
1457460375000,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280
1457460376000,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280
1457460377000,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280
1457460378000,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280,5387.280
