timestamp_ms,hinv.cpu.cache_alignment["cpu0"],hinv.cpu.cache_alignment["cpu1"],hinv.cpu.cache_alignment["cpu2"],hinv.cpu.cache_alignment["cpu3"],hinv.cpu.cache_alignment["cpu4"],hinv.cpu.cache_alignment["cpu5"],hinv.cpu.cache_alignment["cpu6"],hinv.cpu.cache_alignment["cpu7"]
1457460324000,64.000,64.000,64.000,64.000,64.000,64.000,64.000,64.000
1457460327000,64.000,64.000,64.000,64.000,64.000,64.000,64.000,64.000
1457460330000,64.000,64.000,64.000,64.000,64.000,64.000,64.000,64.000
1457460333000,64.000,64.000,64.000,64.000,64.000,64.000,64.000,64.000
1457460336000,64.000,64.000,64.000,64.000,64.000,64.000,64.000,64.000
1457460339000,64.000,64.000,64.000,64.000,64.000,64.000,64.000,64.000
1457460342000,64.000,64.000,64.000,64.000,64.000,64.000,64.000,64.000
1457460345000,64.000,64.000,64.000,64.000,64.000,64.000,64.000,64.000
1457460348000,64.000,64.000,64.000,64.000,64.000,64.000,64.000,64.000
1457460351000,64.000,64.000,64.000,64.000,64.000,64.000,64.000,64.000
1457460354000,64.000,64.000,64.000,64.000,64.000,64.000,64.000,64.000
1457460357000,64.000,64.000,64.000,64.000,64.000,64.000,64.000,64.000
1457460360000,64.000,64.000,64.000,64.000,64.000,64.000,64.000,64.000
1457460363000,64.000,64.000,64.000,64.000,64.000,64.000,64.000,64.000
1457460366000,64.000,64.000,64.000,64.000,64.000,64.000,64.000,64.000
1457460369000,64.000,64.000,64.000,64.000,64.000,64.000,64.000,64.000
1457460372000,64.000,64.000,64.000,64.000,64.000,64.000,64.000,64.000
1457460375000,64.000,64.000,64.000,64.000,64.000,64.000,64.000,64.000
1457460378000,64.000,64.000,64.000,64.000,64.000,64.000,64.000,64.000
