timestamp_ms,hinv.cpu.clock["cpu0"],hinv.cpu.clock["cpu1"],hinv.cpu.clock["cpu2"],hinv.cpu.clock["cpu3"],hinv.cpu.clock["cpu4"],hinv.cpu.clock["cpu5"],hinv.cpu.clock["cpu6"],hinv.cpu.clock["cpu7"]
1457460324000,3502.722,3494.601,3502.828,3217.007,3502.617,3499.980,3499.347,2747.566
1457460327000,3502.722,3494.601,3502.828,3217.007,3502.617,3499.980,3499.347,2747.566
1457460330000,3502.722,3494.601,3502.828,3217.007,3502.617,3499.980,3499.347,2747.566
1457460333000,3502.722,3494.601,3502.828,3217.007,3502.617,3499.980,3499.347,2747.566
1457460336000,3502.722,3494.601,3502.828,3217.007,3502.617,3499.980,3499.347,2747.566
1457460339000,3502.722,3494.601,3502.828,3217.007,3502.617,3499.980,3499.347,2747.566
1457460342000,3502.722,3494.601,3502.828,3217.007,3502.617,3499.980,3499.347,2747.566
1457460345000,3502.722,3494.601,3502.828,3217.007,3502.617,3499.980,3499.347,2747.566
1457460348000,3502.722,3494.601,3502.828,3217.007,3502.617,3499.980,3499.347,2747.566
1457460351000,3502.722,3494.601,3502.828,3217.007,3502.617,3499.980,3499.347,2747.566
1457460354000,3502.722,3494.601,3502.828,3217.007,3502.617,3499.980,3499.347,2747.566
1457460357000,3502.722,3494.601,3502.828,3217.007,3502.617,3499.980,3499.347,2747.566
1457460360000,3502.722,3494.601,3502.828,3217.007,3502.617,3499.980,3499.347,2747.566
1457460363000,3502.722,3494.601,3502.828,3217.007,3502.617,3499.980,3499.347,2747.566
1457460366000,3502.722,3494.601,3502.828,3217.007,3502.617,3499.980,3499.347,2747.566
1457460369000,3502.722,3494.601,3502.828,3217.007,3502.617,3499.980,3499.347,2747.566
1457460372000,3502.722,3494.601,3502.828,3217.007,3502.617,3499.980,3499.347,2747.566
1457460375000,3502.722,3494.601,3502.828,3217.007,3502.617,3499.980,3499.347,2747.566
1457460378000,3502.722,3494.601,3502.828,3217.007,3502.617,3499.980,3499.347,2747.566
