timestamp_ms,hinv.cpu.model["cpu0"],hinv.cpu.model["cpu1"],hinv.cpu.model["cpu2"],hinv.cpu.model["cpu3"],hinv.cpu.model["cpu4"],hinv.cpu.model["cpu5"],hinv.cpu.model["cpu6"],hinv.cpu.model["cpu7"]
1457460322000,"58","58","58","58","58","58","58","58"
1457460323000,"58","58","58","58","58","58","58","58"
1457460324000,"58","58","58","58","58","58","58","58"
1457460325000,"58","58","58","58","58","58","58","58"
1457460326000,"58","58","58","58","58","58","58","58"
1457460327000,"58","58","58","58","58","58","58","58"
1457460328000,"58","58","58","58","58","58","58","58"
1457460329000,"58","58","58","58","58","58","58","58"
1457460330000,"58","58","58","58","58","58","58","58"
1457460331000,"58","58","58","58","58","58","58","58"
1457460332000,"58","58","58","58","58","58","58","58"
1457460333000,"58","58","58","58","58","58","58","58"
1457460334000,"58","58","58","58","58","58","58","58"
1457460335000,"58","58","58","58","58","58","58","58"
1457460336000,"58","58","58","58","58","58","58","58"
1457460337000,"58","58","58","58","58","58","58","58"
1457460338000,"58","58","58","58","58","58","58","58"
1457460339000,"58","58","58","58","58","58","58","58"
1457460340000,"58","58","58","58","58","58","58","58"
1457460341000,"58","58","58","58","58","58","58","58"
1457460342000,"58","58","58","58","58","58","58","58"
1457460343000,"58","58","58","58","58","58","58","58"
1457460344000,"58","58","58","58","58","58","58","58"
1457460345000,"58","58","58","58","58","58","58","58"
1457460346000,"58","58","58","58","58","58","58","58"
1457460347000,"58","58","58","58","58","58","58","58"
1457460348000,"58","58","58","58","58","58","58","58"
1457460349000,"58","58","58","58","58","58","58","58"
1457460350000,"58","58","58","58","58","58","58","58"
1457460351000,"58","58","58","58","58","58","58","58"
1457460352000,"58","58","58","58","58","58","58","58"
1457460353000,"58","58","58","58","58","58","58","58"
1457460354000,"58","58","58","58","58","58","58","58"
1457460355000,"58","58","58","58","58","58","58","58"
1457460356000,"58","58","58","58","58","58","58","58"
1457460357000,"58","58","58","58","58","58","58","58"
1457460358000,"58","58","58","58","58","58","58","58"
1457460359000,"58","58","58","58","58","58","58","58"
1457460360000,"58","58","58","58","58","58","58","58"
1457460361000,"58","58","58","58","58","58","58","58"
1457460362000,"58","58","58","58","58","58","58","58"
1457460363000,"58","58","58","58","58","58","58","58"
1457460364000,"58","58","58","58","58","58","58","58"
1457460365000,"58","58","58","58","58","58","58","58"
1457460366000,"58","58","58","58","58","58","58","58"
1457460367000,"58","58","58","58","58","58","58","58"
1457460368000,"58","58","58","58","58","58","58","58"
1457460369000,"58","58","58","58","58","58","58","58"
1457460370000,"58","58","58","58","58","58","58","58"
1457460371000,"58","58","58","58","58","58","58","58"
1457460372000,"58","58","58","58","58","58","58","58"
1457460373000,"58","58","58","58","58","58","58","58"
1457460374000,"58","58","58","58","58","58","58","58"
1457460375000,"58","58","58","58","58","58","58","58"
1457460376000,"58","58","58","58","58","58","58","58"
1457460377000,"58","58","58","58","58","58","58","58"
1457460378000,"58","58","58","58","58","58","58","58"
