timestamp_ms,hinv.cpu.model_name["cpu0"],hinv.cpu.model_name["cpu1"],hinv.cpu.model_name["cpu2"],hinv.cpu.model_name["cpu3"],hinv.cpu.model_name["cpu4"],hinv.cpu.model_name["cpu5"],hinv.cpu.model_name["cpu6"],hinv.cpu.model_name["cpu7"]
1457460324000,"Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz"
1457460327000,"Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz"
1457460330000,"Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz"
1457460333000,"Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz"
1457460336000,"Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz"
1457460339000,"Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz"
1457460342000,"Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz"
1457460345000,"Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz"
1457460348000,"Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz"
1457460351000,"Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz","Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz"
