timestamp_ms,hinv.cpu.vendor["cpu0"],hinv.cpu.vendor["cpu1"],hinv.cpu.vendor["cpu2"],hinv.cpu.vendor["cpu3"],hinv.cpu.vendor["cpu4"],hinv.cpu.vendor["cpu5"],hinv.cpu.vendor["cpu6"],hinv.cpu.vendor["cpu7"]
1457460324000,"GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel"
1457460327000,"GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel"
1457460330000,"GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel"
1457460333000,"GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel"
1457460336000,"GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel"
1457460339000,"GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel"
1457460342000,"GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel"
1457460345000,"GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel"
1457460348000,"GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel"
1457460351000,"GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel"
1457460354000,"GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel"
1457460357000,"GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel"
1457460360000,"GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel"
1457460363000,"GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel"
1457460366000,"GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel"
1457460369000,"GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel"
1457460372000,"GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel"
1457460375000,"GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel"
1457460378000,"GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel","GenuineIntel"
