timestamp_ms,hinv.map.cpu_node["cpu0"],hinv.map.cpu_node["cpu1"],hinv.map.cpu_node["cpu2"],hinv.map.cpu_node["cpu3"],hinv.map.cpu_node["cpu4"],hinv.map.cpu_node["cpu5"],hinv.map.cpu_node["cpu6"],hinv.map.cpu_node["cpu7"]
1457460324000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1457460327000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1457460330000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1457460333000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1457460336000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1457460339000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1457460342000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1457460345000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1457460348000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1457460351000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1457460354000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1457460357000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1457460360000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1457460363000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1457460366000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1457460369000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1457460372000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1457460375000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1457460378000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
