timestamp_ms,hinv.map.cpu_num["cpu0"],hinv.map.cpu_num["cpu1"],hinv.map.cpu_num["cpu2"],hinv.map.cpu_num["cpu3"],hinv.map.cpu_num["cpu4"],hinv.map.cpu_num["cpu5"],hinv.map.cpu_num["cpu6"],hinv.map.cpu_num["cpu7"]
1457460324000,0.000,1.000,2.000,3.000,4.000,5.000,6.000,7.000
1457460327000,0.000,1.000,2.000,3.000,4.000,5.000,6.000,7.000
1457460330000,0.000,1.000,2.000,3.000,4.000,5.000,6.000,7.000
1457460333000,0.000,1.000,2.000,3.000,4.000,5.000,6.000,7.000
1457460336000,0.000,1.000,2.000,3.000,4.000,5.000,6.000,7.000
1457460339000,0.000,1.000,2.000,3.000,4.000,5.000,6.000,7.000
1457460342000,0.000,1.000,2.000,3.000,4.000,5.000,6.000,7.000
1457460345000,0.000,1.000,2.000,3.000,4.000,5.000,6.000,7.000
1457460348000,0.000,1.000,2.000,3.000,4.000,5.000,6.000,7.000
1457460351000,0.000,1.000,2.000,3.000,4.000,5.000,6.000,7.000
1457460354000,0.000,1.000,2.000,3.000,4.000,5.000,6.000,7.000
1457460357000,0.000,1.000,2.000,3.000,4.000,5.000,6.000,7.000
1457460360000,0.000,1.000,2.000,3.000,4.000,5.000,6.000,7.000
1457460363000,0.000,1.000,2.000,3.000,4.000,5.000,6.000,7.000
1457460366000,0.000,1.000,2.000,3.000,4.000,5.000,6.000,7.000
1457460369000,0.000,1.000,2.000,3.000,4.000,5.000,6.000,7.000
1457460372000,0.000,1.000,2.000,3.000,4.000,5.000,6.000,7.000
1457460375000,0.000,1.000,2.000,3.000,4.000,5.000,6.000,7.000
1457460378000,0.000,1.000,2.000,3.000,4.000,5.000,6.000,7.000
