timestamp_ms,hinv.map.dmname["luks-ea06d19b-489f-4236-8918-c95c91e3417c"],hinv.map.dmname["fedora-swap"],hinv.map.dmname["fedora-root"],hinv.map.dmname["fedora-home"]
1457460324000,"dm-0","dm-1","dm-2","dm-3"
1457460327000,"dm-0","dm-1","dm-2","dm-3"
1457460330000,"dm-0","dm-1","dm-2","dm-3"
1457460333000,"dm-0","dm-1","dm-2","dm-3"
1457460336000,"dm-0","dm-1","dm-2","dm-3"
1457460339000,"dm-0","dm-1","dm-2","dm-3"
1457460342000,"dm-0","dm-1","dm-2","dm-3"
1457460345000,"dm-0","dm-1","dm-2","dm-3"
1457460348000,"dm-0","dm-1","dm-2","dm-3"
1457460351000,"dm-0","dm-1","dm-2","dm-3"
1457460354000,"dm-0","dm-1","dm-2","dm-3"
1457460357000,"dm-0","dm-1","dm-2","dm-3"
1457460360000,"dm-0","dm-1","dm-2","dm-3"
1457460363000,"dm-0","dm-1","dm-2","dm-3"
1457460366000,"dm-0","dm-1","dm-2","dm-3"
1457460369000,"dm-0","dm-1","dm-2","dm-3"
1457460372000,"dm-0","dm-1","dm-2","dm-3"
1457460375000,"dm-0","dm-1","dm-2","dm-3"
1457460378000,"dm-0","dm-1","dm-2","dm-3"
