timestamp_ms,kernel.all.cpu.wait.total
1457460323000,23.000
1457460324000,23.000
1457460325000,17.000
1457460326000,17.000
1457460327000,17.000
1457460328000,23.000
1457460329000,23.000
1457460330000,23.000
1457460331000,30.000
1457460332000,30.000
1457460333000,30.000
1457460334000,30.000
1457460335000,30.000
1457460336000,30.000
1457460337000,17.000
1457460338000,17.000
1457460339000,17.000
1457460340000,23.000
1457460341000,23.000
1457460342000,23.000
1457460343000,27.000
1457460344000,27.000
1457460345000,26.000
1457460346000,47.000
1457460347000,46.000
1457460348000,47.000
1457460349000,63.000
1457460350000,63.000
1457460351000,64.000
1457460352000,4.000
1457460353000,4.000
1457460354000,3.000
1457460355000,23.000
1457460356000,23.000
1457460357000,23.000
1457460358000,27.000
1457460359000,27.000
1457460360000,26.000
1457460361000,34.000
1457460362000,33.000
1457460363000,33.000
1457460364000,4.000
1457460365000,4.000
1457460366000,3.000
1457460367000,55.000
1457460368000,57.000
1457460369000,57.000
1457460370000,4.000
1457460371000,4.000
1457460372000,3.000
1457460373000,39.000
1457460374000,40.000
1457460375000,40.000
1457460376000,4.000
1457460377000,4.000
1457460378000,3.000
