timestamp_ms,kernel.all.intr
1457460323000,649.000
1457460324000,649.000
1457460325000,463.000
1457460326000,458.000
1457460327000,459.000
1457460328000,381.000
1457460329000,379.000
1457460330000,379.000
1457460331000,419.000
1457460332000,420.000
1457460333000,421.000
1457460334000,422.000
1457460335000,423.000
1457460336000,423.000
1457460337000,467.000
1457460338000,468.000
1457460339000,469.000
1457460340000,451.000
1457460341000,450.000
1457460342000,450.000
1457460343000,391.000
1457460344000,390.000
1457460345000,390.000
1457460346000,488.000
1457460347000,490.000
1457460348000,490.000
1457460349000,432.000
1457460350000,430.000
1457460351000,431.000
1457460352000,494.000
1457460353000,495.000
1457460354000,496.000
1457460355000,381.000
1457460356000,379.000
1457460357000,379.000
1457460358000,380.000
1457460359000,380.000
1457460360000,381.000
1457460361000,401.000
1457460362000,403.000
1457460363000,402.000
1457460364000,471.000
1457460365000,472.000
1457460366000,473.000
1457460367000,429.000
1457460368000,429.000
1457460369000,428.000
1457460370000,384.000
1457460371000,382.000
1457460372000,382.000
1457460373000,364.000
1457460374000,365.000
1457460375000,364.000
1457460376000,411.000
1457460377000,413.000
1457460378000,412.000
