timestamp_ms,kernel.all.uptime
1457460324000,319366.000
1457460327000,319369.000
1457460330000,319372.000
1457460333000,319375.000
1457460336000,319378.000
1457460339000,319381.000
1457460342000,319384.000
1457460345000,319387.000
1457460348000,319390.000
1457460351000,319393.000
1457460354000,319396.000
1457460357000,319399.000
1457460360000,319402.000
1457460363000,319405.000
1457460366000,319408.000
1457460369000,319411.000
1457460372000,319414.000
1457460375000,319417.000
1457460378000,319420.000
