timestamp_ms,kernel.uname.machine
1457460322000,"x86_64"
1457460323000,"x86_64"
1457460324000,"x86_64"
1457460325000,"x86_64"
1457460326000,"x86_64"
1457460327000,"x86_64"
1457460328000,"x86_64"
1457460329000,"x86_64"
1457460330000,"x86_64"
1457460331000,"x86_64"
1457460332000,"x86_64"
1457460333000,"x86_64"
1457460334000,"x86_64"
1457460335000,"x86_64"
1457460336000,"x86_64"
1457460337000,"x86_64"
1457460338000,"x86_64"
1457460339000,"x86_64"
1457460340000,"x86_64"
1457460341000,"x86_64"
1457460342000,"x86_64"
1457460343000,"x86_64"
1457460344000,"x86_64"
1457460345000,"x86_64"
1457460346000,"x86_64"
1457460347000,"x86_64"
1457460348000,"x86_64"
1457460349000,"x86_64"
1457460350000,"x86_64"
1457460351000,"x86_64"
1457460352000,"x86_64"
1457460353000,"x86_64"
1457460354000,"x86_64"
1457460355000,"x86_64"
1457460356000,"x86_64"
1457460357000,"x86_64"
1457460358000,"x86_64"
1457460359000,"x86_64"
1457460360000,"x86_64"
1457460361000,"x86_64"
1457460362000,"x86_64"
1457460363000,"x86_64"
1457460364000,"x86_64"
1457460365000,"x86_64"
1457460366000,"x86_64"
1457460367000,"x86_64"
1457460368000,"x86_64"
1457460369000,"x86_64"
1457460370000,"x86_64"
1457460371000,"x86_64"
1457460372000,"x86_64"
1457460373000,"x86_64"
1457460374000,"x86_64"
1457460375000,"x86_64"
1457460376000,"x86_64"
1457460377000,"x86_64"
1457460378000,"x86_64"
