timestamp_ms,network.interface.in.bytes["virbr0-nic"],network.interface.in.bytes["virbr0"],network.interface.in.bytes["lo"],network.interface.in.bytes["wlp3s0"],network.interface.in.bytes["em1"]
1457460323000,0.000,0.000,0.000,0.000,47.000
1457460324000,0.000,0.000,0.000,0.000,47.000
1457460325000,0.000,0.000,0.000,0.000,104.000
1457460326000,0.000,0.000,0.000,0.000,105.000
1457460327000,0.000,0.000,0.000,0.000,106.000
1457460328000,0.000,0.000,0.000,0.000,208.000
1457460329000,0.000,0.000,0.000,0.000,211.000
1457460330000,0.000,0.000,0.000,0.000,210.000
1457460331000,0.000,0.000,0.000,0.000,185.000
1457460332000,0.000,0.000,0.000,0.000,185.000
1457460333000,0.000,0.000,0.000,0.000,184.000
1457460334000,0.000,0.000,0.000,0.000,393.000
1457460335000,0.000,0.000,0.000,0.000,398.000
1457460336000,0.000,0.000,0.000,0.000,397.000
1457460337000,0.000,0.000,0.000,20.000,9.000
1457460338000,0.000,0.000,0.000,20.000,0.000
1457460339000,0.000,0.000,0.000,20.000,0.000
1457460340000,0.000,0.000,0.000,0.000,219.000
1457460341000,0.000,0.000,0.000,0.000,224.000
1457460342000,0.000,0.000,0.000,0.000,224.000
1457460343000,0.000,0.000,0.000,0.000,5.000
1457460344000,0.000,0.000,0.000,0.000,0.000
1457460345000,0.000,0.000,0.000,0.000,0.000
1457460346000,0.000,0.000,0.000,0.000,111.000
1457460347000,0.000,0.000,0.000,0.000,114.000
1457460348000,0.000,0.000,0.000,0.000,113.000
1457460349000,0.000,0.000,0.000,0.000,114.000
1457460350000,0.000,0.000,0.000,0.000,115.000
1457460351000,0.000,0.000,0.000,0.000,114.000
1457460352000,0.000,0.000,0.000,0.000,110.000
1457460353000,0.000,0.000,0.000,0.000,111.000
1457460354000,0.000,0.000,0.000,0.000,111.000
1457460355000,0.000,0.000,0.000,0.000,145.000
1457460356000,0.000,0.000,0.000,0.000,146.000
1457460357000,0.000,0.000,0.000,0.000,147.000
1457460358000,0.000,0.000,0.000,0.000,262.000
1457460359000,0.000,0.000,0.000,0.000,264.000
1457460360000,0.000,0.000,0.000,0.000,265.000
1457460361000,0.000,0.000,0.000,0.000,93.000
1457460362000,0.000,0.000,0.000,0.000,89.000
1457460363000,0.000,0.000,0.000,0.000,89.000
1457460364000,0.000,0.000,0.000,0.000,299.000
1457460365000,0.000,0.000,0.000,0.000,303.000
1457460366000,0.000,0.000,0.000,0.000,303.000
1457460367000,0.000,0.000,486.000,0.000,1153.000
1457460368000,0.000,0.000,496.000,0.000,1171.000
1457460369000,0.000,0.000,497.000,0.000,1171.000
1457460370000,0.000,0.000,11.000,0.000,245.000
1457460371000,0.000,0.000,0.000,0.000,224.000
1457460372000,0.000,0.000,0.000,0.000,224.000
1457460373000,0.000,0.000,0.000,0.000,48.000
1457460374000,0.000,0.000,0.000,0.000,43.000
1457460375000,0.000,0.000,0.000,0.000,44.000
1457460376000,0.000,0.000,0.000,0.000,54.000
1457460377000,0.000,0.000,0.000,0.000,54.000
1457460378000,0.000,0.000,0.000,0.000,54.000
