timestamp_ms,network.interface.in.packets["virbr0-nic"],network.interface.in.packets["virbr0"],network.interface.in.packets["lo"],network.interface.in.packets["wlp3s0"],network.interface.in.packets["em1"]
1457460327000,0.000,0.000,0.000,0.000,0.667
1457460330000,0.000,0.000,0.000,0.000,1.333
1457460333000,0.000,0.000,0.000,0.000,1.333
1457460336000,0.000,0.000,0.000,0.000,1.667
1457460339000,0.000,0.000,0.000,0.333,0.000
1457460342000,0.000,0.000,0.000,0.000,1.333
1457460345000,0.000,0.000,0.000,0.000,0.000
1457460348000,0.000,0.000,0.000,0.000,0.667
1457460351000,0.000,0.000,0.000,0.000,1.333
1457460354000,0.000,0.000,0.000,0.000,0.667
1457460357000,0.000,0.000,0.000,0.000,1.000
1457460360000,0.000,0.000,0.000,0.000,1.667
1457460363000,0.000,0.000,0.000,0.000,0.667
1457460366000,0.000,0.000,0.000,0.000,2.667
1457460369000,0.000,0.000,3.000,0.000,3.667
1457460372000,0.000,0.000,0.000,0.000,1.333
1457460375000,0.000,0.000,0.000,0.000,0.333
1457460378000,0.000,0.000,0.000,0.000,0.333
