timestamp_ms,network.interface.out.bytes["virbr0-nic"],network.interface.out.bytes["virbr0"],network.interface.out.bytes["lo"],network.interface.out.bytes["wlp3s0"],network.interface.out.bytes["em1"]
1457460327000,0.000,0.000,0.000,94.667,86.667
1457460330000,0.000,0.000,0.000,0.667,0.667
1457460333000,0.000,0.000,0.000,0.000,52.000
1457460336000,0.000,0.000,0.000,0.000,104.333
1457460339000,0.000,0.000,0.000,23.000,0.667
1457460342000,0.000,0.000,0.000,0.333,0.000
1457460345000,0.000,0.000,0.000,0.000,0.000
1457460348000,0.000,0.000,0.000,0.000,46.333
1457460351000,0.000,0.000,0.000,0.000,69.667
1457460354000,0.000,0.000,0.000,0.000,47.000
1457460357000,0.000,0.000,0.000,0.000,23.333
1457460360000,0.000,0.000,0.000,0.000,38.000
1457460363000,0.000,0.000,0.000,0.000,75.333
1457460366000,0.000,0.000,0.000,0.000,184.667
1457460369000,0.000,0.000,493.000,0.000,455.333
1457460372000,0.000,0.000,3.667,0.000,3.333
1457460375000,0.000,0.000,0.000,0.000,23.000
1457460378000,0.000,0.000,0.000,0.000,38.000
