timestamp_ms,network.interface.out.packets["virbr0-nic"],network.interface.out.packets["virbr0"],network.interface.out.packets["lo"],network.interface.out.packets["wlp3s0"],network.interface.out.packets["em1"]
1457460327000,0.000,0.000,0.000,0.333,0.333
1457460330000,0.000,0.000,0.000,0.000,0.000
1457460333000,0.000,0.000,0.000,0.000,0.667
1457460336000,0.000,0.000,0.000,0.000,1.333
1457460339000,0.000,0.000,0.000,0.333,0.000
1457460342000,0.000,0.000,0.000,0.000,0.000
1457460345000,0.000,0.000,0.000,0.000,0.000
1457460348000,0.000,0.000,0.000,0.000,0.667
1457460351000,0.000,0.000,0.000,0.000,0.667
1457460354000,0.000,0.000,0.000,0.000,0.667
1457460357000,0.000,0.000,0.000,0.000,0.333
1457460360000,0.000,0.000,0.000,0.000,0.333
1457460363000,0.000,0.000,0.000,0.000,1.000
1457460366000,0.000,0.000,0.000,0.000,2.333
1457460369000,0.000,0.000,3.000,0.000,4.333
1457460372000,0.000,0.000,0.000,0.000,0.000
1457460375000,0.000,0.000,0.000,0.000,0.333
1457460378000,0.000,0.000,0.000,0.000,0.333
