timestamp_ms,direct_dma,direct_dma32,direct_movable,direct_normal,direct_throttle,kswapd_dma,kswapd_dma32,kswapd_movable,kswapd_normal
1424904532773.33,0,13149.1175637689,0,9355.71418270046,0,0,31345.1307740075,0,25047.3509084626
1424904536494.3,0,0,0,0,0,0,0,0,0
1424904539496.22,0,0,0,0,0,0,0,0,0
1424904542498.77,0,11.9898084676559,0,349.036646502871,0,0,0,0,0
1424904545501.49,0,0,0,0,0,0,0,0,0
1424904548503.96,0,0,0,0,0,0,0,0,0
1424904551507.05,0,0,0,0,0,0,0,0,0
1424904554510.21,0,0,0,0,0,0,0,0,0
1424904557514.29,0,0,0,0,0,0,0,0,0
1424904560518.43,0,0,0,0,0,0,0,0,0
1424904563523.43,0,0,0,0,0,0,0,0,0
1424904566530.44,0,0,0,0,0,0,0,0,0
1424904569533.69,0,0,0,0,0,0,0,0,0
1424904572537.37,0,0,0,0,0,0,0,0,0
1424904575540.38,0,0,0,0,0,0,0,0,0
1424904578543.04,0,0,0,0,0,0,0,0,0
1424904581546.47,0,0,0,0,0,0,0,0,0
1424904584549.76,0,0,0,0,0,0,0,0,0
1424904587552.57,0,0,0,0,0,0,0,0,0
1424904590555.04,0,0,0,0,0,0,0,0,0
1424904593559.05,0,0,0,0,0,0,0,0,0
