timestamp_ms,cpu_00,cpu_01,cpu_02,cpu_03,cpu_04,cpu_05,cpu_06,cpu_07
1424886532000,26.26,20.13,60.28,17.28,59.8,12.33,56.39,54.66
1424886535000,10.07,10,66.55,17.33,2.36,2.02,3.37,0.99
1424886538000,8.73,2.71,99.99,0,5.82,6.02,6.42,4.39
1424886541000,1.7,0.66,99.66,0,3.38,1.67,4.42,1.02
1424886544000,4.4,0.68,100,0,4.73,2.35,4.4,0.68
1424886547000,2.04,1.02,99.99,0,2.04,2.32,3.06,2.02
1424886550000,3.72,0.66,100,0,2.04,1.02,5.04,1.35
1424886553000,2.38,1.35,100,0.33,2.72,1.34,3.71,1.69
1424886556000,2.71,1.01,100,0,2.04,1.67,2.72,1
1424886559000,7.36,7.57,100,0.33,10.39,8.66,14.29,5
1424886562000,5.58,1.98,100,0,6.49,2.35,6.3,2
1424886565000,11.71,15.11,100.01,0.66,12.28,8.5,11.22,13.14
1424886568000,6.14,4.38,100,0,5.09,5.38,7.07,1.36
1424886571000,73.65,9.4,34.57,2.69,7.82,4.71,10.47,3.03
1424886574000,100,0.33,2.36,0.68,3.04,1.67,4.04,0.66
1424886577000,100,0,3.02,0.34,3.03,1.98,2.7,3.01
1424886580000,64.24,36.54,3.38,1.34,2.38,1.7,4.36,1.33
1424886583000,2.62,100,3.38,1.33,2.38,2.33,4.72,2
1424886586000,0.67,100,2.69,0.68,3.03,1.68,3.73,0.33
1424886589000,0.99,100,3.02,1,1.36,1.01,4.38,0.66
1424886592000,0,100,1.7,0.66,2.04,0.67,3.74,0.67
