timestamp_ms,fault_sec,majflt_sec,page_swaps_in_sec,page_swaps_out_sec,pgfree_sec,pgpgin_sec,pgpgout_sec,pgscand_sec,pgscank_sec,pgsteal_sec,vmeff_pct
1424886532000,7235.00,10.67,0.00,6710.33,74065.33,2846.67,27310.67,21959.67,49246.67,62294.67,87.48
1424886535000,903.00,0.00,0.00,1370.33,17070.33,1334.67,6062.67,1051.00,8413.33,7400.00,78.19
1424886538000,744.67,0.33,0.00,0.00,5280.67,3405.33,76.00,0.00,0.00,0.00,0.00
1424886541000,841.33,0.00,0.00,0.00,3509.33,0.00,368.00,361.33,0.00,361.33,100.00
1424886544000,1138.67,2.67,0.00,0.00,3042.67,196.00,777.33,0.00,0.00,0.00,0.00
1424886547000,755.00,0.00,0.00,0.00,2317.33,0.00,10.67,0.00,0.00,0.00,0.00
1424886550000,659.33,0.00,0.00,0.00,2547.67,0.00,193.33,0.00,0.00,0.00,0.00
1424886553000,702.67,0.33,0.00,0.00,2560.67,16.00,477.33,0.00,0.00,0.00,0.00
1424886556000,666.00,0.00,0.00,0.00,2459.67,0.00,36.00,0.00,0.00,0.00,0.00
1424886559000,1160.33,35.33,0.00,0.00,2631.00,2861.33,206.67,0.00,0.00,0.00,0.00
1424886562000,700.33,0.33,0.00,0.00,3196.67,1.33,32.00,0.00,0.00,0.00,0.00
1424886565000,1137.00,1.67,0.00,0.00,3271.33,90.67,381.33,0.00,0.00,0.00,0.00
1424886568000,932.33,1.33,0.00,0.00,6103.33,73.33,476.00,0.00,0.00,0.00,0.00
1424886571000,1807.33,11.00,0.00,0.00,9750.00,736.00,142.67,0.00,0.00,0.00,0.00
1424886574000,586.00,0.67,0.00,0.00,3133.67,24.00,54.67,0.00,0.00,0.00,0.00
1424886577000,968.33,7.67,0.00,0.00,2150.67,200.00,62.67,0.00,0.00,0.00,0.00
1424886580000,1574.00,5.33,0.00,0.00,3419.67,366.67,381.33,0.00,0.00,0.00,0.00
1424886583000,878.67,4.67,0.00,0.00,2558.00,512.00,26.67,0.00,0.00,0.00,0.00
1424886586000,603.00,0.00,0.00,0.00,2607.33,0.00,37.33,0.00,0.00,0.00,0.00
1424886589000,599.00,0.00,0.00,0.00,2464.33,1.33,284.00,0.00,0.00,0.00,0.00
1424886592000,655.67,0.00,0.00,0.00,2252.33,0.00,37.33,0.00,0.00,0.00,0.00
