timestamp_ms,em1-rx,em1-tx,lo-rx,lo-tx,macvtap0-rx,macvtap0-tx,virbr0-nic-rx,virbr0-nic-tx,virbr0-rx,virbr0-tx,vnet0-rx,vnet0-tx,vnet1-rx,vnet1-tx,wlp3s0-rx,wlp3s0-tx
1424886532000,1.67,0.33,15.33,15.33,1.33,0.00,0.00,0.00,15.33,15.33,11.00,10.67,4.67,5.33,0.00,0.00
1424886535000,0.00,0.00,24.33,24.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67,0.33,0.67,0.00,0.00
1424886538000,2.00,2.00,19.00,19.00,1.33,0.00,0.00,0.00,1.33,0.00,0.00,0.33,1.33,0.33,0.00,0.00
1424886541000,1.33,0.00,15.67,15.67,1.33,0.00,0.00,0.00,0.00,0.00,0.33,0.67,0.00,0.67,0.00,0.00
1424886544000,2.67,1.67,51.67,51.67,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.33,0.33,0.00,0.00
1424886547000,1.00,0.67,30.67,30.67,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.67,0.00,0.67,0.00,0.00
1424886550000,3.67,4.00,262.67,262.67,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.33,0.00,0.00
1424886553000,0.67,0.33,19.33,19.33,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.67,0.33,0.67,0.00,0.00
1424886556000,1.33,1.00,24.67,24.67,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.33,0.00,0.00
1424886559000,0.67,1.33,15.67,15.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67,0.00,0.67,0.00,0.00
1424886562000,1.67,0.33,15.33,15.33,1.33,0.00,0.00,0.00,0.00,0.00,0.33,0.33,0.00,0.33,0.00,0.00
1424886565000,0.33,0.33,31.67,31.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67,0.33,0.67,0.00,0.00
1424886568000,2.00,0.33,22.67,22.67,1.33,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.33,0.00,0.00
1424886571000,2.00,0.67,2.00,2.00,1.33,0.00,0.00,0.00,0.00,0.00,0.33,0.67,0.00,0.67,0.00,0.00
1424886574000,0.67,0.67,9.00,9.00,0.33,0.33,0.00,0.00,0.00,0.00,0.00,0.33,0.33,0.33,0.00,0.00
1424886577000,5.67,5.00,36.33,36.33,1.00,0.00,0.00,0.00,0.67,0.67,0.67,1.33,0.00,0.67,0.00,0.00
1424886580000,0.67,0.00,0.00,0.00,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.33,0.00,0.00
1424886583000,11.67,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.33,0.67,1.00,0.33,0.67,0.00,0.00
1424886586000,4.00,5.67,9.33,9.33,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.33,0.00,0.00
1424886589000,2.67,4.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67,0.00,0.67,0.00,0.00
1424886592000,3.00,3.00,0.00,0.00,1.33,0.00,0.00,0.00,0.00,0.00,0.33,0.33,0.00,0.33,0.00,0.00
