timestamp_ms,badcalls_sec,calls_sec,reply_cache_hits_sec,reply_cache_misses_sec,rpc_access_calls_sec,rpc_getattr_calls_sec,rpc_read_calls_sec,rpc_write_calls_sec,rx_tcp_packets_sec,rx_udp_packets_sec
1424843332000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1424843335000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1424843338000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1424843341000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1424843344000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1424843347000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1424843350000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1424843353000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1424843356000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1424843359000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1424843362000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1424843365000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1424843368000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1424843371000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1424843374000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1424843377000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1424843380000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1424843383000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1424843386000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1424843389000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1424843392000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
