timestamp_ms,raw_sockets,tcp_sockets,tcp_timewait_sockets,total_sockets,udp_sockets
1424886532000,0,48,24,1071,20
1424886535000,0,48,25,1071,20
1424886538000,0,48,25,1071,20
1424886541000,0,48,25,1071,20
1424886544000,0,48,24,1071,20
1424886547000,0,48,24,1071,20
1424886550000,0,48,21,1071,20
1424886553000,0,48,21,1071,20
1424886556000,0,48,22,1071,20
1424886559000,0,48,16,1071,20
1424886562000,0,48,16,1071,20
1424886565000,0,48,15,1071,20
1424886568000,0,28,25,1048,20
1424886571000,0,28,25,1040,20
1424886574000,0,28,19,1040,20
1424886577000,0,28,19,1040,20
1424886580000,0,28,18,1040,20
1424886583000,0,29,18,1041,20
1424886586000,0,29,19,1041,20
1424886589000,0,29,16,1041,20
1424886592000,0,29,16,1041,20
