timestamp_ms,active_opens_sec,passive_opens_sec,rx_segments_sec,tcp_attempt_fails_sec,tcp_establish_resets_sec,tcp_rx_segments_error_sec,tcp_segments_retransmitted_sec,tcp_tx_segments_RSTflag_sec,tx_segments_sec
1424886532000,0.33,0.00,30.67,0.00,0.00,0.00,0.00,0.00,31.00
1424886535000,0.33,0.33,24.33,0.00,0.00,0.00,0.00,0.00,24.33
1424886538000,0.00,0.00,19.67,0.00,0.00,0.00,0.00,0.00,19.67
1424886541000,0.00,0.00,15.67,0.00,0.00,0.00,0.00,0.00,15.67
1424886544000,0.33,0.33,53.33,0.00,0.00,0.00,0.00,0.00,53.33
1424886547000,0.00,0.00,31.33,0.00,0.00,0.00,0.00,0.00,31.33
1424886550000,0.33,0.00,264.67,0.00,0.00,0.00,0.00,0.00,266.00
1424886553000,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,19.67
1424886556000,0.33,0.33,25.00,0.00,0.00,0.00,0.00,0.00,25.33
1424886559000,0.00,0.00,16.33,0.00,0.00,0.00,0.00,0.00,17.00
1424886562000,0.00,0.00,15.67,0.00,0.00,0.00,0.00,0.00,15.67
1424886565000,0.33,0.33,32.00,0.00,0.00,0.00,0.00,0.00,32.00
1424886568000,0.00,0.00,23.33,0.00,0.00,0.00,0.00,0.00,23.00
1424886571000,0.00,0.00,0.67,0.00,0.00,0.00,0.00,0.00,0.67
1424886574000,0.33,0.33,9.33,0.00,0.00,0.00,0.00,0.00,9.33
1424886577000,0.00,0.00,36.33,0.00,0.00,0.00,0.00,0.00,36.33
1424886580000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1424886583000,0.33,0.00,7.00,0.00,0.00,0.00,0.00,0.00,7.33
1424886586000,0.33,0.33,12.67,0.00,0.00,0.00,0.00,0.00,15.00
1424886589000,0.00,0.00,2.67,0.00,0.00,0.00,0.00,0.00,4.33
1424886592000,0.00,0.00,1.67,0.00,0.00,0.00,0.00,0.00,3.00
