timestamp_ms,cpu_00,cpu_01,cpu_02,cpu_03,cpu_04,cpu_05,cpu_06,cpu_07,cpu_08,cpu_09,cpu_10,cpu_11,cpu_12,cpu_13,cpu_14,cpu_15,cpu_16,cpu_17,cpu_18,cpu_19,cpu_20,cpu_21,cpu_22,cpu_23
1427871323000,7.41,14.95,7.66,5.37,5.72,11.11,13.33,6.67,6.38,5.38,10.4,7.97,1.33,1.66,3.02,17.72,4.37,6,3.33,1.34,1.33,3.68,0,1.67
1427871326000,19.52,11.08,11.41,11.75,9.69,8.45,10.48,11.18,8.33,15.59,9.69,13.42,2.69,2,2.34,5.37,3.03,1.33,4.01,1.34,2.34,1.33,0.34,0.33
1427871329000,14.43,6.68,10.13,5.65,10.4,6.38,11.41,6.02,9.46,5.38,8.11,5.68,2.67,0.33,5.34,5.67,4.41,1.33,5.33,2.01,2,0.67,1,0.66
1427871332000,11.6,6.38,12.8,6.08,18.24,5.71,19.38,9.76,11.49,10.77,10.2,16.44,3.06,0,17.57,0.66,8.93,4.71,4.68,2,1.02,0.33,5.78,0
1427871335000,9.18,8.42,12.42,8.08,11.22,11.41,14.38,9.1,21.36,12.8,12.54,7.75,5.07,0.66,12.5,5,11.15,2,1.68,0.66,4.08,1.33,5.17,2.68
1427871338000,13.84,11.08,15.41,16.16,12.08,11.37,13.7,10.74,20.7,8.08,11.45,10.71,3.07,0,4.79,10.7,7.96,2.34,2,1.99,3.84,0.33,2.23,0.67
1427871341000,10.68,7.69,9.31,18.06,9.76,10.48,9.65,9.12,11.51,8.73,10.34,7.09,1.02,2.67,3.78,11.41,3.12,2,1,2.33,6.6,4.31,1.41,1.99
1427871344000,15.11,4.4,18.92,16.38,13.43,12.46,15.07,8.35,19.52,10.03,12.03,5,8.48,2.33,8.19,8.76,4.45,3.34,2.37,1.66,3.08,0.33,3.81,0
1427871347000,9.93,12.75,10.2,11.49,12.88,25.17,10.27,13.71,13.26,15.28,11.27,12.16,1.36,2.34,6.46,7.02,2.39,1.69,1.68,1,1.7,1,1.36,1.01
1427871350000,7.11,17.57,4.07,16.83,4.7,16.39,6.42,13.8,9.9,15.48,8.13,17.72,0.68,6.33,4.38,9.73,1.36,3.02,1.67,2.99,1.7,2.34,1.7,2.68
1427871353000,11.6,18.72,17.07,19.8,11.11,16.95,17.87,14.53,14.38,13.43,15.12,22.98,3.74,1.67,7.17,5.71,3.4,3.69,1.7,3.01,2.06,5,3.12,2.34
1427871356000,12.84,11.83,14.58,13.09,10.1,10.14,11.19,14.05,9.22,16.95,9.86,14.77,0.34,0.33,4.38,0,1.69,4.03,1,6.01,1.02,3.34,2.02,0
1427871359000,17.62,13.76,11.74,11.11,9.43,14.28,9.4,11.94,13.8,15.25,8.84,17.84,1.68,1,1.01,6.04,1.35,2.67,3.34,1.33,2.69,2.01,1.68,0.33
1427871362000,13.81,10.04,12.88,9,12.24,11.11,13.47,12.42,14.05,10.7,11.22,18.18,1.69,0.67,4.03,5.35,2.7,2.66,1.33,0.67,1.35,0.66,1.01,1
1427871365000,10.47,11.12,9.43,9.13,8.09,13.08,8.08,11.78,11.45,13.3,19.8,11.75,0.68,1,3.03,5.71,1.35,3.35,0.66,1,0.33,1.99,0.66,0.68
1427871368000,3.39,2,2.02,0.66,1.35,0.33,2.72,0.33,6.43,3.01,7.12,3.34,1.36,0,0.68,14.95,1.7,0,0,0,0.68,0,0,0.33
1427871371000,3.69,1.69,4.37,1.66,2.68,1.67,1.69,1.35,5.73,2,2.01,2,1.35,0,0.34,1.01,1.02,0.33,1.7,0,0.34,0,0,0.33
1427871374000,0.33,1.34,1,1,8.36,0,0,0.66,3.01,10.36,0,3.01,0,0,0.33,6.31,0,0,0.33,0,0.33,0.33,0,0
1427871377000,0,1,0.33,0,1.33,0.33,0.67,0,2.68,1,0,1,0.33,0,0,6.35,0,0,0,0,0,0,0,0
1427871380000,0,1,0,0,1.33,0,6.64,0.67,3.33,1,1,3.65,0.66,0,0,7.36,0,0,0,0,0,0,0,0.33
1427871383000,0,1,0,10.3,1.33,0.33,0.34,0.33,3,1,0,0.67,0.33,0,0.33,5,0,0,0,0,0,0.33,0,0
1427871386000,0,1,0.33,1.34,1.33,0,6.64,2,2.68,2.34,1,1.33,0,0,0,1.33,0,0,0,0,0,0,0,0.66
1427871389000,0,1.66,0,0,1,0.33,7.02,8.66,3,2.66,0,1.33,0.33,0,0,0.66,0,0,0,0.33,0,1.33,0,0
1427871392000,0.33,1,0,0.33,1,0,0,0,3.01,1.33,0,1.33,0.66,0,0,4.98,0,0,0,0,0,18.39,0,0
1427871395000,0,2.33,0,12.62,1.33,1,2.33,3.02,3,3,0,3.7,0.33,0,0,0.33,0,0.33,0,0,0,2.66,0,0.33
1427871398000,0,1,0,0.66,1.34,2.01,0,0,2.67,1.33,0,1,0,0,0,1.67,0,0,0,0,0,3.67,0,0
1427871401000,7.41,8.06,5.35,3.01,6.06,15.38,5.01,11.3,8.66,6.98,3.69,5.67,2.69,0.99,1,4.02,1.33,1.33,1.02,0.33,8.03,3.33,5.69,1.34
