timestamp_ms,cpu_00,cpu_01,cpu_02,cpu_03,cpu_04,cpu_05,cpu_06,cpu_07,cpu_08,cpu_09,cpu_10,cpu_11,cpu_12,cpu_13,cpu_14,cpu_15,cpu_16,cpu_17,cpu_18,cpu_19,cpu_20,cpu_21,cpu_22,cpu_23
1427871323000,1199.92,1199.92,1200.00,1200.00,1199.92,1199.92,1199.92,1199.92,1199.92,1199.92,1200.39,1199.92,1199.92,1199.92,1199.60,1199.92,1200.00,1199.92,1200.07,1199.92,1199.92,1199.92,1200.00,1199.92
1427871326000,1199.92,1199.92,1200.00,1200.00,1199.92,1200.00,1199.92,1199.92,1200.00,1200.07,1199.92,1200.00,1199.92,1199.92,1199.92,1199.92,1199.92,1200.00,1199.92,1200.00,1200.23,1200.00,1199.92,1199.92
1427871329000,1199.92,1199.92,1199.92,1199.92,1199.92,1200.00,1199.92,1199.92,1200.00,1200.00,1199.92,1200.00,1200.00,1199.92,1200.00,1199.92,1199.92,1199.68,1200.00,1200.00,1200.00,1199.92,1200.00,1199.92
1427871332000,1199.92,1200.00,1199.92,1200.00,1199.92,1200.00,1199.92,1199.92,1199.92,1199.92,1199.92,1199.92,1199.92,1199.92,1199.92,1199.92,1199.92,1199.92,1200.00,1199.92,1200.00,1199.92,1199.92,1199.92
1427871335000,1200.00,1199.92,1200.07,1199.92,1199.84,1199.92,1200.62,1199.92,1200.00,1199.92,1200.00,1199.92,1199.92,1199.92,1199.92,1199.92,1200.00,1200.00,1199.92,1200.00,1200.00,1199.92,1200.00,1200.07
1427871338000,1199.92,1199.92,1199.92,1200.00,1200.00,1199.92,1199.92,1199.92,1199.92,1199.92,1199.92,1199.92,1199.92,1199.92,1199.14,1199.92,1199.84,1200.00,1199.92,1199.92,1199.92,1199.92,1199.92,1199.92
1427871341000,1199.92,1200.00,1199.92,1199.92,1199.92,1199.92,1199.92,1199.92,1199.92,1199.92,1199.92,1200.00,1199.92,1199.68,1200.00,1199.92,1199.92,1199.92,1199.92,1200.31,1199.84,1199.92,1199.92,1199.92
1427871344000,1199.92,1199.92,1199.92,1200.07,1199.92,1199.92,1199.92,1199.92,1199.92,1200.07,1200.00,1200.00,1200.00,1200.00,1200.00,1199.92,1199.92,1201.17,1200.00,1200.00,1199.92,1199.92,1200.00,1200.00
1427871347000,1199.92,1199.92,1199.92,1199.92,1199.92,1200.00,1200.00,1200.00,1200.00,1199.92,1200.00,1199.92,1200.00,1199.84,1200.00,1199.92,1199.92,1200.00,1200.00,1199.92,1199.92,1199.92,1199.92,1199.92
1427871350000,1199.92,1199.92,1199.92,1199.92,1199.92,1199.92,1200.00,1199.92,1200.00,1199.92,1199.92,1199.92,1200.00,1199.92,1200.00,1199.92,1199.92,1199.92,1200.00,1200.00,1200.00,1199.92,1200.00,1200.00
1427871353000,1199.92,1199.92,1199.92,1199.92,1199.92,1199.92,1199.92,1200.00,1200.00,1200.00,1199.92,1199.92,1199.92,1199.92,1200.00,1200.00,1199.92,1199.92,1200.00,1199.92,1199.92,1200.00,1199.92,1200.00
1427871356000,1199.92,1199.92,1199.92,1199.92,1199.92,1199.92,1199.92,1199.92,1199.92,1199.92,1199.92,1200.00,1199.92,1200.00,1199.92,1199.92,1199.92,1199.92,1199.92,1199.92,1199.84,1199.92,1200.15,1199.92
1427871359000,1199.92,1200.00,1199.92,1199.92,1199.92,1199.92,1199.92,1200.00,1199.92,1200.00,1200.00,1199.92,1199.92,1199.92,1199.92,1200.00,1200.07,1199.92,1199.92,1200.00,1199.92,1201.09,1199.92,1200.00
1427871362000,1199.92,1199.92,1199.92,1199.92,1199.92,1199.92,1200.00,1199.92,1200.00,1199.92,1199.92,1199.92,1199.92,1199.92,1199.92,1199.92,1199.92,1199.92,1200.00,1199.92,1199.84,1199.92,1200.00,1199.92
1427871365000,1199.92,1201.01,1200.00,1199.92,1200.15,1199.92,1199.92,1200.00,1200.15,1200.00,1200.00,1200.00,1199.92,1200.00,1199.92,1199.92,1199.68,1199.60,1200.00,1199.92,1200.07,1200.00,1200.00,1199.92
1427871368000,1199.92,1199.92,1200.00,1200.00,1200.07,1200.00,1199.92,1199.92,1200.00,1200.15,1199.92,1199.92,1199.92,1199.92,1199.92,1200.15,1199.92,1199.92,1200.00,1199.92,1200.00,1199.92,1199.92,1199.92
1427871371000,1200.00,1200.00,1200.07,1199.29,1200.00,1200.15,1199.92,1200.00,1200.07,1200.00,1200.07,1199.92,1199.92,1199.92,1200.00,1199.92,1199.76,1199.92,1200.00,1200.00,1200.00,1199.92,1200.07,1199.92
