timestamp_ms,br0-rx,br0-tx,em1-rx,em1-tx,em2-rx,em2-tx,em3-rx,em3-tx,em4-rx,em4-tx,lbr0-rx,lbr0-tx,lo-rx,lo-tx,ovs-system-rx,ovs-system-tx,p3p1-rx,p3p1-tx,p3p2-rx,p3p2-tx,veth1bdc8f0-rx,veth1bdc8f0-tx,veth5fc8421-rx,veth5fc8421-tx,veth6b17299-rx,veth6b17299-tx,veth7db7cba-rx,veth7db7cba-tx,vethc2c3258-rx,vethc2c3258-tx,vethd05859d-rx,vethd05859d-tx,vlinuxbr-rx,vlinuxbr-tx,vovsbr-rx,vovsbr-tx
1427871323000,427.00,365.33,13.67,10.67,0.00,0.00,0.00,0.00,0.00,0.00,865.33,914.67,177.33,177.33,0.00,0.00,427.33,365.67,0.00,0.00,670.33,811.00,0.00,0.00,852.00,738.67,154.67,176.00,0.33,0.67,0.00,0.00,0.00,0.00,0.00,0.00
1427871326000,657.33,589.33,5.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1365.67,1407.00,126.33,126.33,0.00,0.00,657.00,589.00,0.00,0.00,1010.00,1200.00,0.00,0.00,1309.33,1111.00,247.33,297.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427871329000,702.33,587.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1320.00,1415.33,69.33,69.33,0.00,0.00,702.33,587.00,0.00,0.00,1021.00,1243.00,0.00,0.00,1349.67,1191.67,220.33,251.67,0.33,0.67,0.00,0.00,0.00,0.00,0.00,0.00
1427871332000,1528.00,1238.67,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2165.33,2443.33,152.00,152.00,0.00,0.00,1528.00,1238.67,0.00,0.00,1302.67,1925.67,0.00,0.00,2564.33,2181.67,288.67,325.67,0.33,0.67,0.00,0.00,0.00,0.00,0.00,0.00
1427871335000,2932.67,1655.33,5.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2639.33,3905.33,89.00,89.00,0.00,0.00,2932.67,1655.33,0.00,0.00,1389.67,3091.00,0.00,0.00,4108.67,3647.67,319.33,345.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427871338000,8656.00,1112.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2077.33,9607.67,130.00,130.00,0.00,0.00,8657.33,1112.33,0.00,0.00,1443.33,3068.67,0.00,0.00,3555.00,9433.67,313.33,338.33,0.67,1.00,0.00,0.00,0.00,0.00,0.00,0.00
1427871341000,7643.33,1221.00,5.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2186.67,8594.33,64.67,64.67,0.00,0.00,7642.00,1220.67,0.00,0.00,1395.33,3013.00,0.00,0.00,3607.33,8371.67,313.00,339.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427871344000,4943.00,1071.67,4.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2047.33,5903.33,179.00,179.00,0.00,0.00,4943.00,1071.67,0.00,0.00,1399.00,2878.67,0.00,0.00,3319.00,5668.33,316.67,344.00,0.33,0.67,0.00,0.00,0.00,0.00,0.00,0.00
1427871347000,2886.00,825.67,6.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1830.33,3879.67,131.00,131.00,0.00,0.00,2886.00,825.67,0.00,0.00,1405.67,2820.00,0.00,0.00,2992.00,3603.00,327.33,350.67,0.33,0.67,0.00,0.00,0.00,0.00,0.00,0.00
1427871350000,1723.33,991.67,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1979.33,2700.00,62.00,62.00,0.00,0.00,1723.33,991.67,0.00,0.00,1396.00,2811.67,0.00,0.00,3161.33,2441.33,320.67,346.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427871353000,4848.33,1291.67,5.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2331.00,5878.00,177.00,177.00,0.00,0.00,4848.33,1292.00,0.00,0.00,1486.67,2821.00,0.00,0.00,3438.00,5626.67,338.00,362.00,0.33,0.67,0.00,0.00,0.00,0.00,0.00,0.00
1427871356000,877.00,767.67,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1800.33,1903.00,89.33,89.33,0.00,0.00,877.00,767.33,0.00,0.00,1443.00,2721.67,0.00,0.00,2815.67,1614.67,335.67,360.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427871359000,586.33,737.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1734.00,1575.00,103.67,103.67,0.00,0.00,586.33,737.00,0.00,0.00,1377.00,2326.00,0.00,0.00,2415.00,1282.67,324.33,348.33,0.33,0.67,0.00,0.00,0.00,0.00,0.00,0.00
1427871362000,428.67,622.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1629.00,1422.33,117.33,117.33,0.00,0.00,428.67,622.00,0.00,0.00,1413.00,1938.67,0.00,0.00,1907.67,1149.00,328.00,354.00,0.33,0.67,0.00,0.00,0.00,0.00,0.00,0.00
1427871365000,419.67,576.00,6.00,0.67,0.00,0.00,0.00,0.00,0.00,0.00,1389.67,1222.67,122.67,122.67,0.00,0.00,419.67,576.00,0.00,0.00,957.67,1101.33,0.00,0.00,1174.33,835.67,281.33,309.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427871368000,6116.00,4620.67,5.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4664.67,6147.33,130.00,130.00,0.00,0.00,6116.00,4620.67,0.00,0.00,85.67,80.00,0.00,0.00,4689.67,6168.00,10.00,19.67,0.33,0.67,0.00,0.00,0.00,0.00,0.00,0.00
1427871371000,2744.00,2000.00,23.33,0.33,0.00,0.00,0.00,0.00,0.00,0.00,2167.00,2896.00,63.33,63.33,0.00,0.00,2744.00,2000.00,0.00,0.00,241.67,280.33,0.00,0.00,2187.00,2867.00,50.00,60.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427871374000,39.00,23.33,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.67,17.00,179.67,179.67,0.00,0.00,39.00,23.33,0.00,0.00,16.00,16.00,0.00,0.00,38.00,26.00,1.33,2.33,0.33,0.67,0.00,0.00,0.00,0.00,0.00,0.00
1427871377000,19.00,3.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.33,10.00,89.00,89.00,0.00,0.00,19.00,3.00,0.00,0.00,8.33,7.00,0.00,0.00,8.00,6.33,2.00,4.33,0.67,1.00,0.00,0.00,0.00,0.00,0.00,0.00
1427871380000,13.67,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,96.33,96.33,0.00,0.00,13.67,0.00,0.00,0.00,0.33,0.67,0.00,0.00,0.67,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427871383000,12.00,0.00,5.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,144.00,144.00,0.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67,0.33,0.00,0.00,0.33,0.67,0.00,0.00,0.00,0.00,0.00,0.00
