timestamp_ms,gnice,guest,idle,iowait,irq,nice,soft,steal,sys,usr
1427871323000,0.00,0.00,93.62,0.00,0.00,0.00,0.34,0.00,2.35,3.69
1427871326000,0.00,0.00,91.67,0.00,0.00,0.00,0.67,0.00,2.33,5.33
1427871329000,0.00,0.00,90.54,0.00,0.00,0.00,0.34,0.00,2.70,6.42
1427871332000,0.00,0.00,88.51,0.00,0.00,0.00,0.68,0.00,2.70,8.11
1427871335000,0.00,0.00,78.64,0.00,0.00,0.00,0.68,0.00,10.17,10.51
1427871338000,0.00,0.00,79.31,0.00,0.00,0.00,1.38,0.00,9.66,9.66
1427871341000,0.00,0.00,88.50,0.00,0.00,0.00,1.05,0.00,3.14,7.32
1427871344000,0.00,0.00,80.48,0.00,0.00,0.00,1.37,0.00,5.48,12.67
1427871347000,0.00,0.00,86.73,0.00,0.00,0.00,1.02,0.00,5.10,7.14
1427871350000,0.00,0.00,90.10,0.00,0.00,0.00,0.68,0.00,4.10,5.12
1427871353000,0.00,0.00,85.62,0.00,0.00,0.00,1.71,0.00,5.48,7.19
1427871356000,0.00,0.00,90.78,0.00,0.00,0.00,1.37,0.00,2.73,5.12
1427871359000,0.00,0.00,86.20,0.00,0.00,0.00,1.01,0.00,4.71,8.08
1427871362000,0.00,0.00,85.95,0.00,0.00,0.00,0.67,0.00,5.02,8.36
1427871365000,0.00,0.00,88.55,0.00,0.00,0.00,1.01,0.00,4.04,6.40
1427871368000,0.00,0.00,93.56,0.00,0.00,0.00,1.69,0.00,3.05,1.69
1427871371000,0.00,0.00,94.28,0.00,0.00,0.00,0.34,0.00,2.36,3.03
1427871374000,0.00,0.00,96.99,0.00,0.00,0.00,0.00,0.00,2.01,1.00
1427871377000,0.00,0.00,97.32,0.00,0.00,0.00,0.00,0.00,2.01,0.67
1427871380000,0.00,0.00,96.67,0.00,0.00,0.00,0.00,0.00,2.33,1.00
1427871383000,0.00,0.00,97.00,0.00,0.00,0.00,0.00,0.00,2.33,0.67
1427871386000,0.00,0.00,97.32,0.00,0.00,0.00,0.00,0.00,2.01,0.67
1427871389000,0.00,0.00,97.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00
1427871392000,0.00,0.00,96.99,0.00,0.00,0.00,0.00,0.00,2.01,1.00
1427871395000,0.00,0.00,97.00,0.00,0.00,0.00,0.00,0.00,2.33,0.67
1427871398000,0.00,0.00,97.32,0.00,0.00,0.00,0.00,0.00,1.67,1.00
1427871401000,0.00,0.00,91.33,0.00,0.00,0.00,0.33,0.00,5.00,3.33
