timestamp_ms,all_interrupts
1427871323000,7864.33
1427871326000,11386.00
1427871329000,9881.67
1427871332000,15557.00
1427871335000,18816.00
1427871338000,22117.67
1427871341000,19563.67
1427871344000,17481.00
1427871347000,16067.33
1427871350000,14572.67
1427871353000,18147.67
1427871356000,16094.33
1427871359000,16082.67
1427871362000,14993.67
1427871365000,12727.67
1427871368000,7528.67
1427871371000,4945.00
1427871374000,2005.67
1427871377000,1363.67
1427871380000,1551.33
1427871383000,1389.67
1427871386000,1551.00
1427871389000,1511.67
1427871392000,1339.00
1427871395000,1641.00
1427871398000,582.00
1427871401000,8294.33
