timestamp_ms,bond0-rx,bond0-tx,em1-rx,em1-tx,em2-rx,em2-tx,em3-rx,em3-tx,em4-rx,em4-tx,lo-rx,lo-tx,rhev10g-rx,rhev10g-tx,rhevm-rx,rhevm-tx,vnet0-rx,vnet0-tx
1432111047000,0.00,0.00,0.00,0.00,0.33,0.00,39.00,32.33,0.00,0.00,0.00,0.00,0.33,0.00,34.00,27.00,26.00,31.33
1432111050000,0.00,0.00,0.00,0.00,0.67,0.00,9.00,5.00,0.00,0.00,0.00,0.00,0.67,0.00,6.67,3.00,2.00,6.00
1432111053000,0.00,0.00,0.00,0.00,0.33,0.00,7.00,0.67,0.00,0.00,0.00,0.00,0.33,0.00,7.00,0.67,0.00,6.00
1432111056000,0.00,0.00,0.00,0.00,1.00,0.00,7.00,2.67,0.00,0.00,0.00,0.00,0.67,0.00,7.00,2.00,0.00,4.00
1432111059000,0.00,0.00,0.00,0.00,0.33,0.00,6.33,0.67,0.00,0.00,0.00,0.00,0.33,0.00,6.00,0.67,0.00,5.00
1432111062000,0.00,0.00,0.00,0.00,0.67,0.00,9.00,2.67,0.00,0.00,0.00,0.00,0.67,0.00,9.00,2.67,0.00,6.67
1432111065000,0.00,0.00,0.00,0.00,0.33,0.00,7.33,0.67,0.00,0.00,0.00,0.00,0.33,0.00,7.33,0.67,0.00,6.33
1432111068000,0.00,0.00,0.00,0.00,0.67,0.00,6.67,1.00,0.00,0.00,0.00,0.00,0.67,0.00,6.33,1.00,0.00,5.00
1432111071000,0.00,0.00,0.00,0.00,0.33,0.00,10.00,5.33,0.00,0.00,0.00,0.00,0.33,0.00,10.00,4.67,0.00,5.00
1432111074000,0.00,0.00,0.00,0.00,0.67,0.00,6.67,0.67,0.00,0.00,0.00,0.00,0.67,0.00,6.67,0.67,0.00,5.67
1432111077000,0.00,0.00,0.00,0.00,0.33,0.00,7.00,0.67,0.00,0.00,0.00,0.00,0.33,0.00,7.00,0.67,0.00,6.00
