timestamp_ms,context_switches_sec,processes_created_sec
1455698999000,347.49,2.01
1455699002000,91.95,0.67
1455699005000,92.69,1.33
1455699008000,92.31,2.01
1455699011000,97.67,1.99
1455699014000,94.30,2.01
1455699017000,99.00,2.00
1455699020000,98.67,2.00
1455699023000,96.66,2.01
1455699026000,99.67,2.01
1455699029000,104.33,2.00
1455699032000,93.31,2.01
1455699035000,99.67,2.00
1455699038000,95.65,2.01
1455699041000,97.67,2.00
1455699044000,90.97,2.01
1455699047000,102.34,2.01
1455699050000,95.33,2.00
1455699053000,102.33,2.00
1455699056000,942.95,48.32
