timestamp_client_hostname:perf102-server_hostname:perf104-server_port:21000/hostname:perf102_ms,client_hostname:perf102-server_hostname:perf104-server_port:21000/hostname:perf102,timestamp_client_hostname:perf102-server_hostname:perf104-server_port:22000/hostname:perf102_ms,client_hostname:perf102-server_hostname:perf104-server_port:22000/hostname:perf102
1459955123000,69950.2516316178,1459955128000,50608.0314919615
1459955124000,72247.5670830188,1459955129000,66361.7438133842
1459955125000,56210.6715598688,1459955130000,55486.5773566411
1459955126000,53004.353308792,1459955131000,66006.001990018
1459955127000,70166.8640788345,1459955132000,56048.0984078274
1459955128000,50610.4853664971,1459955133000,58547.6444186981
1459955129000,66351.7946050114,1459955134000,58595.0178902284
1459955130000,55478.3311891767,1459955135000,58815.7781211303
1459955131000,66024.0368708215,1459955136000,58748.468411095
1459955132000,56062.7757486512,1459955137000,58518.6901272562
1459955133000,58500.2501597357,1459955138000,55796.1770318612
1459955134000,58590.1384961298,1459955139000,58705.2769115783
1459955135000,58817.9136834865,1459955140000,65743.7070992897
1459955136000,58742.1830691157,1459955141000,55757.8625772115
1459955137000,58517.4480711258,1459955142000,75225.8945536257
1459955138000,55813.7589160677,1459955143000,55947.4969752193
1459955139000,58704.3542501651,1459955144000,69971.231864713
1459955140000,65736.1227654376,1459955145000,58722.0870436835
1459955141000,55759.9663633816,1459955146000,70027.7558165433
1459955142000,75223.5183560161,1459955147000,53069.4404607053
1459955143000,55951.5877479164,1459955148000,65892.740400553
1459955144000,69971.3683993248,1459955149000,69969.6904925222
1459955145000,58722.5835897339,1459955150000,53219.7749625597
1459955146000,70024.8216617115,1459955151000,55713.4603119738
1459955147000,53068.981892135,1459955152000,59108.6504733056
1459955148000,65884.6105664481,1459955153000,70129.9307647327
1459955149000,70029.7074764095,1459955154000,59111.0919869572
1459955150000,53236.5277486294,1459955155000,55862.4522024616
1459955151000,55464.5289630222,1459955156000,69355.3736441082
1459955152000,58883.0710715423,1459955157000,62383.9907726753
1459955153000,70120.5883116541,1459955158000,70101.8136811306
1459955154000,59107.5751099894,1459955159000,48354.9347067639
1459955155000,55869.1366947074,1459955160000,55948.7790270563
1459955156000,69397.9112653462,1459955161000,62237.7145071842
1459955157000,62394.4982025926,1459955162000,55455.6894960677
1459955158000,70106.9957449586,1459955163000,55731.0380370437
1459955159000,48352.400381281,1459955164000,65855.107365744
1459955160000,55956.2536428215,1459955165000,55891.3144454554
1459955161000,62197.5575136164,1459955166000,65724.0919671268
1459955162000,55426.0274553907,1459955167000,52880.7636323459
1459955163000,55732.2615627947,1459955168000,52854.4841192351
1459955164000,65875.0184439219,1459955169000,62054.8807543788
1459955165000,55885.2288080396,1459955170000,59021.9301030206
1459955166000,65710.8259787099,1459955171000,74808.6203634839
1459955167000,52890.7682315574,1459955172000,52565.1455750768
1459955168000,52858.5733297401,1459955173000,59098.390596188
1459955169000,62045.3850239662,1459955174000,55850.5855083302
1459955170000,59017.1293739304,1459955175000,53064.48594976
1459955171000,74800.7073271767,,
1459955172000,52571.0797791658,,
1459955173000,59090.4934028771,,
1459955174000,55849.1827971958,,
1459955175000,53069.1475768171,,
