timestamp_CPU_uperf-client:perf86_ms,CPU_uperf-client:perf86,timestamp_CPU_uperf-server:perf88_ms,CPU_uperf-server:perf88
1426181816000,0.4212,1426181817000,0.426
1426181819000,0.3767,1426181820000,0.4482
1426181822000,0.4332,1426181823000,0.4329
1426181825000,0.3921,1426181826000,0.4782
1426181828000,0.457,1426181829000,0.4568
1426181831000,0.4266,1426181832000,0.4658
1426181834000,0.4639,1426181835000,0.5024
1426181837000,0.502,1426181838000,0.5239
1426181840000,0.4743,1426181841000,0.5328
1426181843000,0.4826,1426181844000,0.5424
1426181846000,0.4779,1426181847000,0.5494
1426181849000,0.4304,1426181850000,0.5387
1426181852000,0.4675,1426181853000,0.5151
1426181855000,0.4729,1426181856000,0.4663
1426181858000,0.5244,1426181859000,0.5569
1426181861000,0.4589,1426181862000,0.5245
1426181864000,0.4675,1426181865000,0.5565
1426181867000,0.5219,1426181868000,0.5531
