timestamp_transactions_sec/CPU_uperf-client:perf86_ms,transactions_sec/CPU_uperf-client:perf86,timestamp_transactions_sec/CPU_uperf-server:perf88_ms,transactions_sec/CPU_uperf-server:perf88
1426181816000,43169.4527768929,1426181817000,42875.7055349289
1426181819000,47243.0547639421,1426181820000,39576.9941611215
1426181822000,41418.1779594723,1426181823000,42055.9824085388
1426181825000,45084.7689125156,1426181826000,37014.8335585029
1426181828000,39284.9206188662,1426181829000,39905.1324547807
1426181831000,41915.3548296175,1426181832000,38092.2288239152
1426181834000,38351.2421809982,1426181835000,36022.9123075882
1426181837000,35208.3715253225,1426181838000,33665.4419525801
1426181840000,37677.5834359445,1426181841000,33228.4051180095
1426181843000,36529.6249507758,1426181844000,32399.2637285031
1426181846000,36694.8491309252,1426181847000,32263.7627723788
1426181849000,41823.7595397346,1426181850000,33202.0546886257
1426181852000,38035.1544781753,1426181853000,34641.2421804019
1426181855000,37451.8356927403,1426181856000,37951.8263374576
1426181858000,33881.95616012,1426181859000,31796.9477836831
1426181861000,38681.0821754401,1426181862000,33804.5691203273
1426181864000,38143.1396955649,1426181865000,32027.7949508588
1426181867000,33958.8406294375,1426181868000,31965.3937376497
