timestamp_hostname:perf102_ms,hostname:perf102,timestamp_hostname:perf104_ms,hostname:perf104
1459956693000,0.3884,1459956693000,2.1188
1459956694000,0.0706,1459956694000,2.0402
1459956695000,0.4606,1459956695000,2.9954
1459956696000,0.7093,1459956696000,3.1436
1459956697000,0.7599,1459956697000,3.135
1459956698000,0.6959,1459956698000,3.1202
1459956699000,0.7224,1459956699000,3.121
1459956700000,0.7498,1459956700000,3.1455
1459956701000,0.7434,1459956701000,3.1314
1459956702000,0.7164,1459956702000,3.148
1459956703000,0.6965,1459956703000,3.1219
1459956704000,0.7399,1459956704000,3.1414
1459956705000,0.714,1459956705000,3.1135
1459956706000,0.7456,1459956706000,3.1457
1459956707000,0.7202,1459956707000,3.1119
1459956708000,0.7263,1459956708000,3.1573
1459956709000,0.7196,1459956709000,3.1398
1459956710000,0.7269,1459956710000,3.1274
1459956711000,0.7196,1459956711000,3.1366
1459956712000,0.7324,1459956712000,3.1174
1459956713000,0.7096,1459956713000,3.1617
1459956714000,0.7299,1459956714000,3.1371
1459956715000,0.7401,1459956715000,3.1124
1459956716000,0.7233,1459956716000,3.1509
1459956717000,0.7258,1459956717000,3.1323
1459956718000,0.7201,1459956718000,3.1269
1459956719000,0.7193,1459956719000,3.1374
1459956720000,0.7295,1459956720000,3.1264
1459956721000,0.7342,1459956721000,3.1376
1459956722000,0.709,1459956722000,3.1225
1459956723000,0.7458,1459956723000,3.1661
1459956724000,0.7399,1459956724000,3.1128
1459956725000,0.7352,1459956725000,3.1319
1459956726000,0.7205,1459956726000,3.1322
1459956727000,0.7562,1459956727000,3.1547
1459956728000,0.7246,1459956728000,3.1468
1459956729000,0.7346,1459956729000,3.1012
1459956730000,0.7151,1459956730000,3.1742
1459956731000,0.7376,1459956731000,3.1101
1459956732000,0.7271,1459956732000,3.1495
1459956733000,0.7417,1459956733000,3.1453
1459956734000,0.7379,1459956734000,3.1246
1459956735000,0.7206,1459956735000,3.11
1459956736000,0.7427,1459956736000,3.1665
1459956737000,0.721,1459956737000,3.1266
1459956738000,0.7047,1459956738000,3.1357
1459956739000,0.7392,1459956739000,3.1257
1459956740000,0.7106,1459956740000,3.1296
1459956741000,0.7378,1459956741000,3.1273
1459956742000,0.7167,1459956742000,3.1539
1459956743000,0.7339,1459956743000,3.1292
1459956744000,0.7358,1459956744000,3.1211
1459956745000,0.7012,1459956745000,3.1392
1459956746000,0.7199,1459956746000,3.1202
1459956747000,0.7431,1459956747000,3.1394
1459956748000,0.7282,1459956748000,3.1297
1459956749000,0.7691,1459956749000,3.125
1459956750000,0.7032,1459956750000,3.1287
1459956751000,0.712,1459956751000,3.1156
,,1459956752000,3.1525
,,1459956753000,3.1791
,,1459956754000,3.1406
