timestamp_ms,in_KiB,out_KiB
1424373920000,7385,155
1424373980000,26575,1240
1424374040000,31427,882
1424374100000,37948,330
1424374160000,42114,881
1424374220000,53433,1055
1424374280000,57053,741
1424374340000,58517,337
1424374400000,70511,884
1424374460000,73275,359
1424374520000,78520,1090
1424374580000,79069,702
1424374640000,81519,458
1424374700000,87642,767
1424374760000,91316,1100
1424374820000,93934,677
1424374880000,86398,378
1424374940000,82702,885
1424375000000,76940,1105
1424375060000,77405,664
1424375120000,82098,358
1424375180000,83030,905
1424375240000,83293,730
1424375300000,82130,1092
1424375360000,79352,331
1424375420000,78640,448
1424375480000,76327,792
1424375540000,73633,1145
1424375600000,72481,680
1424375660000,69788,453
1424375720000,69371,719
1424375780000,71268,634
1424375840000,68808,1188
1424375900000,72121,340
1424375960000,72661,840
1424376020000,71997,641
1424376080000,73919,1221
1424376140000,77457,343
1424376200000,81828,843
1424376260000,89765,678
1424376320000,91248,886
1424376380000,99874,698
1424376440000,105905,465
1424376500000,111786,698
1424376560000,106671,682
