timestamp_ms,active_KiB,free_KiB,inactive_KiB,swapped_KiB
1424373920000,4845572,57931432,2013332,8
1424373980000,4846428,56291364,3443492,8
1424374040000,4847728,54357976,5207152,8
1424374100000,4850552,52019616,7418308,8
1424374160000,4850684,49470816,9869804,8
1424374220000,4851000,46226124,13048140,8
1424374280000,4850328,42775424,16447068,8
1424374340000,4851324,39217920,19963248,8
1424374400000,4851024,34982312,24169488,8
1424374460000,4852992,30542620,28579244,8
1424374520000,4861632,25803232,33287908,8
1424374580000,4876536,21026168,38027424,8
1424374640000,4882048,16112772,42911940,8
1424374700000,4882144,10830004,48171964,8
1424374760000,4881844,5311200,53670804,8
1424374820000,4893476,282596,58672880,8
1424374880000,4894764,280084,58697784,8
1424374940000,4897300,266136,58727140,8
1424375000000,4897536,248124,58752872,8
1424375060000,4900024,276564,58734856,8
1424375120000,4904320,285276,58794972,8
1424375180000,4905764,266028,58888164,8
1424375240000,4906060,268500,58944272,8
1424375300000,4906544,285268,58961888,8
1424375360000,4933152,277420,58975064,8
1424375420000,4963632,261800,58948292,8
1424375480000,4967708,262944,58947936,8
1424375540000,4970080,268892,58941136,8
1424375600000,4972308,271844,58933260,8
1424375660000,4975448,265612,58926868,8
1424375720000,4977712,270572,58923228,8
1424375780000,4979908,245440,58944692,8
1424375840000,4982684,285140,58912752,8
1424375900000,4984896,286460,58896212,8
1424375960000,4986388,253280,58927852,8
1424376020000,4987532,284916,58900640,8
1424376080000,4986652,269904,58922768,8
1424376140000,4984720,266920,58936076,8
1424376200000,4982180,273560,58943404,8
1424376260000,4977388,270252,58960624,8
1424376320000,4971480,313392,58938672,8
1424376380000,4960736,265356,59007732,8
1424376440000,4947860,306108,58989664,8
1424376500000,4940212,271464,59033332,8
1424376560000,4939892,288992,59028456,8
