timestamp_ms,blocked,running
1424373920000,2,2
1424373980000,4,1
1424374040000,5,0
1424374100000,6,0
1424374160000,7,0
1424374220000,8,0
1424374280000,9,0
1424374340000,8,0
1424374400000,8,0
1424374460000,10,0
1424374520000,8,0
1424374580000,7,0
1424374640000,8,1
1424374700000,9,1
1424374760000,10,0
1424374820000,6,2
1424374880000,8,1
1424374940000,9,0
1424375000000,8,0
1424375060000,6,0
1424375120000,8,0
1424375180000,7,0
1424375240000,7,2
1424375300000,5,0
1424375360000,7,0
1424375420000,6,1
1424375480000,6,2
1424375540000,3,0
1424375600000,6,1
1424375660000,7,0
1424375720000,8,1
1424375780000,5,1
1424375840000,8,2
1424375900000,7,0
1424375960000,7,2
1424376020000,4,0
1424376080000,5,0
1424376140000,4,0
1424376200000,3,1
1424376260000,8,0
1424376320000,7,1
1424376380000,7,0
1424376440000,8,0
1424376500000,5,1
1424376560000,4,0
