timestamp_ms,cntx_switches,interrupts
1424373920000,6202,4412
1424373980000,16095,9624
1424374040000,17956,9772
1424374100000,18675,9594
1424374160000,19745,9999
1424374220000,21189,10189
1424374280000,21737,10676
1424374340000,21525,10527
1424374400000,22348,10540
1424374460000,22261,11080
1424374520000,23123,11171
1424374580000,22790,11098
1424374640000,23058,10959
1424374700000,22952,11394
1424374760000,22830,11139
1424374820000,22682,11592
1424374880000,21222,10182
1424374940000,20229,9510
1424375000000,18942,9636
1424375060000,19895,9894
1424375120000,19764,10031
1424375180000,19978,9790
1424375240000,19738,9931
1424375300000,19945,9881
1424375360000,19969,9782
1424375420000,20194,9573
1424375480000,19884,9505
1424375540000,20266,9547
1424375600000,21006,9635
1424375660000,20792,9975
1424375720000,20753,9719
1424375780000,20446,9888
1424375840000,19856,9385
1424375900000,19949,9879
1424375960000,20109,9500
1424376020000,19849,9508
1424376080000,20469,9665
1424376140000,20971,9903
1424376200000,21970,10395
1424376260000,22155,10453
1424376320000,22271,10179
1424376380000,22672,10258
1424376440000,22444,10310
1424376500000,22632,10516
1424376560000,21371,9349
