timestamp_ms,number_of_data_nodes,number_of_nodes
1485174277592.76,1,1
1485174280639.83,1,1
1485174283650.97,1,1
1485174286656.76,1,1
1485174289664.92,1,1
1485174292670.27,1,1
1485174295674.83,1,1
1485174298680.11,1,1
1485174301683.86,1,1
1485174304690.78,1,1
1485174307697.77,1,1
1485174310704.51,1,1
1485174313711.49,1,1
1485174316716.3,1,1
1485174319723.45,1,1
1485174322732.18,1,1
1485174325739.06,1,1
1485174328745.96,1,1
1485174331752.85,1,1
1485174334774.03,1,1
1485174337778.23,1,1
1485174340793.32,1,1
1485174343799.05,2,2
1485174346806.59,2,2
1485174349813.74,2,2
1485174352821.88,2,2
1485174355831.16,2,2
1485174358838.1,2,2
1485174361853.23,2,2
1485174364864.76,2,2
1485174367870.33,2,2
1485174370887.41,2,2
1485174373895.35,2,2
1485174376902.69,2,2
1485174379909.4,2,2
1485174382917.17,2,2
1485174385923.17,2,2
1485174388931.39,2,2
1485174391948.65,2,2
1485174394955.4,2,2
1485174397963.78,2,2
1485174400972.1,2,2
1485174403978.33,2,2
1485174406983.12,2,2
1485174409997.7,2,2
1485174413021.88,2,2
1485174416104.47,2,2
1485174419289.28,2,2
1485174422296.59,2,2
1485174425312.89,2,2
1485174428418.47,2,2
1485174431456.04,2,2
1485174434462.92,2,2
1485174437519.52,2,2
1485174440545.9,2,2
1485174443553.41,2,2
1485174446566.29,2,2
1485174449572.23,2,2
1485174452588.02,2,2
1485174455611.92,2,2
1485174458622.66,2,2
1485174461645.14,2,2
1485174464799,2,2
1485174467845.07,2,2
1485174470861.38,2,2
1485174473870.36,2,2
1485174476878.98,2,2
1485174479981.27,2,2
1485174483044.63,2,2
1485174486056.06,2,2
1485174489062.92,2,2
1485174492071.63,2,2
1485174495085.18,2,2
1485174498102.41,2,2
1485174501216.57,2,2
1485174504222.42,2,2
1485174507226.31,2,2
1485174510234.21,2,2
1485174513454.87,2,2
1485174516473.36,2,2
1485174519480.32,2,2
1485174522487.14,3,3
1485174525493.94,3,3
1485174528578.26,3,3
1485174531586.93,3,3
1485174534593.04,3,3
1485174537595.93,3,3
1485174540598.35,3,3
1485174543604.98,3,3
1485174546611.6,3,3
1485174549618.8,3,3
1485174556656.05,3,3
1485174559663.21,3,3
1485174562667.91,3,3
1485174565731.39,3,3
1485174568739.08,3,3
1485174571746.42,3,3
1485174574753.61,3,3
1485174577762.78,3,3
1485174580769.88,3,3
1485174583774.27,3,3
1485174586781.14,3,3
1485174589788.05,3,3
1485174592794.97,3,3
1485174595801.79,3,3
1485174598808.72,3,3
1485174601815.57,3,3
1485174604822.51,3,3
1485174607829.5,3,3
1485174610836.29,3,3
1485174613843.19,3,3
1485174616856.85,3,3
1485174619860.52,3,3
1485174622863.83,3,3
1485174625902.96,3,3
1485174628909.83,3,3
1485174632035.43,3,3
1485174635042.28,3,3
1485174638049.26,3,3
1485174641079.36,3,3
1485174644086.23,3,3
1485174647093.1,3,3
1485174650100.02,3,3
1485174653106.89,3,3
1485174656439.07,3,3
1485174659443.52,3,3
1485174662452.52,3,3
1485174665459.44,3,3
1485174668466.27,3,3
1485174671490.04,3,3
1485174674610.88,3,3
1485174677728.21,3,3
1485174680760.92,3,3
1485174683860.76,3,3
1485174686946.91,3,3
1485174689955.85,3,3
1485174693120.38,3,3
1485174696128.09,3,3
1485174699200.11,3,3
1485174702204.12,3,3
1485174705262.25,3,3
1485174708322.17,3,3
1485174711329.07,3,3
1485174714387.19,3,3
1485174717389.25,3,3
1485174724417.56,3,3
1485174727438.83,3,3
1485174730548.14,3,3
1485174733561.52,3,3
1485174736568.41,3,3
1485174739573.43,3,3
1485174742585.46,3,3
1485174745602.71,3,3
1485174748607.57,3,3
1485174751614.15,3,3
1485174754616.71,3,3
1485174757624,3,3
1485174760632.22,3,3
1485174763711.72,3,3
1485174766735.77,3,3
1485174769742.28,3,3
1485174772752.41,3,3
1485174775816.2,3,3
1485174778830.39,3,3
1485174781845.78,3,3
1485174784860.77,3,3
1485174787969.67,3,3
1485174790976.78,3,3
1485174793981.72,3,3
1485174796989.1,3,3
1485174800003.34,3,3
1485174803010.28,3,3
1485174806028.71,3,3
1485174809034.38,3,3
1485174812039.43,3,3
1485174815044.99,3,3
1485174822092.35,3,3
1485174825102.38,3,3
1485174828157.77,3,3
1485174831174.68,3,3
1485174834181.97,3,3
1485174837189.09,3,3
1485174840195.87,3,3
1485174843209.19,3,3
1485174846221.23,3,3
1485174849234.47,3,3
