timestamp_ms,file_descriptors_avg,file_descriptors_max,file_descriptors_min
1485174277486,149,149,149
1485174280540,160,160,160
1485174283549,160,160,160
1485174286556,160,160,160
1485174289616,173,173,173
1485174292622,171,171,171
1485174295628,181,181,181
1485174298635,178,178,178
1485174301642,185,185,185
1485174304653,195,195,195
1485174307661,202,202,202
1485174310670,201,201,201
1485174313718,222,222,222
1485174316739,213,213,213
1485174319776,224,224,224
1485174322802,242,242,242
1485174325816,228,228,228
1485174328837,227,227,227
1485174331867,238,238,238
1485174334878,241,241,241
1485174337892,222,222,222
1485174340910,263,263,263
1485174343937,221,261,181
1485174346964,223,261,185
1485174350020,231,275,187
1485174353033,238,274,203
1485174356144,236,274,199
1485174359211,233,265,201
1485174362233,233,265,201
1485174365284,248,279,218
1485174368552,253,287,220
1485174371588,240,262,218
1485174374651,248,270,226
1485174377665,265,286,244
1485174380715,267,284,251
1485174383767,248,251,245
1485174386931,259,259,259
1485174389945,274,276,272
1485174392962,277,280,275
1485174395984,271,274,268
1485174399024,282,282,282
1485174402183,287,299,276
1485174405284,300,305,295
1485174408326,306,322,291
1485174411559,308,324,292
1485174414599,313,323,303
1485174417676,324,330,318
1485174421112,332,342,322
1485174424193,335,343,327
1485174427304,335,339,331
1485174430471,325,328,322
1485174433583,324,328,320
1485174436599,317,326,309
1485174439629,325,341,310
1485174442675,330,339,321
1485174445735,330,343,318
1485174448747,336,349,323
1485174451896,342,356,329
1485174455014,348,362,335
1485174458123,349,361,338
1485174461219,348,369,328
1485174464677,348,375,322
1485174468425,350,379,322
1485174471450,344,367,321
1485174474652,342,366,319
1485174477671,338,368,309
1485174480683,342,368,317
1485174483713,339,359,319
1485174486727,345,366,324
1485174489806,344,360,328
1485174492825,344,354,334
1485174496120,345,358,332
1485174499222,347,358,337
1485174502370,337,340,334
1485174505466,343,344,342
1485174508509,346,348,344
1485174511524,347,358,337
1485174514539,345,347,344
1485174517555,364,381,347
1485174520574,317,383,199
1485174523622,321,385,199
1485174527123,322,391,199
1485174530312,326,396,205
1485174533333,332,402,207
1485174536511,334,408,207
1485174539757,333,405,207
