timestamp_ms,allocated_processors,available_processors
1485174277486,4,4
1485174280540,4,4
1485174283549,4,4
1485174286556,4,4
1485174289616,4,4
1485174292622,4,4
1485174295628,4,4
1485174298635,4,4
1485174301642,4,4
1485174304653,4,4
1485174307661,4,4
1485174310670,4,4
1485174313718,4,4
1485174316739,4,4
1485174319776,4,4
1485174322802,4,4
1485174325816,4,4
1485174328837,4,4
1485174331867,4,4
1485174334878,4,4
1485174337892,4,4
1485174340910,4,4
1485174343937,4,4
1485174346964,4,4
1485174350020,4,4
1485174353033,4,4
1485174356144,4,4
1485174359211,4,4
1485174362233,4,4
1485174365284,4,4
1485174368552,4,4
1485174371588,4,4
1485174374651,4,4
1485174377665,4,4
1485174380715,4,4
1485174383767,4,4
1485174386931,4,4
1485174389945,4,4
1485174392962,4,4
1485174395984,4,4
1485174399024,4,4
1485174402183,4,4
1485174405284,4,4
1485174408326,4,4
1485174411559,4,4
1485174414599,4,4
1485174417676,4,4
1485174421112,4,4
1485174424193,4,4
1485174427304,4,4
1485174430471,4,4
1485174433583,4,4
1485174436599,4,4
1485174439629,4,4
1485174442675,4,4
1485174445735,4,4
1485174448747,4,4
1485174451896,4,4
1485174455014,4,4
1485174458123,4,4
1485174461219,4,4
1485174464677,4,4
1485174468425,4,4
1485174471450,4,4
1485174474652,4,4
1485174477671,4,4
1485174480683,4,4
1485174483713,4,4
1485174486727,4,4
1485174489806,4,4
1485174492825,4,4
1485174496120,4,4
1485174499222,4,4
1485174502370,4,4
1485174505466,4,4
1485174508509,4,4
1485174511524,4,4
1485174514539,4,4
1485174517555,4,4
1485174520574,4,4
1485174523622,4,4
1485174527123,4,4
1485174530312,4,4
1485174533333,4,4
1485174536511,4,4
1485174539757,4,4
1485174543076,4,4
1485174546218,4,4
1485174549488,4,4
1485174553100,4,4
1485174556121,4,4
1485174559369,4,4
1485174562389,4,4
1485174565734,4,4
1485174568761,4,4
1485174572019,4,4
1485174575138,4,4
1485174578380,4,4
1485174581502,4,4
1485174584516,4,4
1485174587691,4,4
1485174590951,4,4
1485174594094,4,4
1485174597162,4,4
1485174600231,4,4
1485174603246,4,4
1485174606333,4,4
1485174609562,4,4
1485174613115,4,4
1485174616603,4,4
1485174619961,4,4
1485174623470,4,4
1485174626862,4,4
1485174630110,4,4
1485174633186,4,4
1485174636212,4,4
1485174641475,4,4
1485174644944,4,4
1485174647976,4,4
1485174651219,4,4
1485174654309,4,4
1485174657324,4,4
1485174660354,4,4
1485174663698,4,4
1485174666831,4,4
1485174669885,4,4
1485174672963,4,4
1485174676361,4,4
1485174679460,4,4
1485174682572,4,4
1485174685950,4,4
1485174689331,4,4
1485174692472,4,4
1485174695562,4,4
1485174699071,4,4
1485174702146,4,4
1485174706716,4,4
1485174709893,4,4
1485174712972,4,4
1485174716026,4,4
1485174719762,4,4
1485174722782,4,4
1485174725800,4,4
1485174729321,4,4
1485174732426,4,4
1485174735636,4,4
1485174738668,4,4
1485174742303,4,4
1485174745456,4,4
1485174748478,4,4
1485174751867,4,4
1485174755052,4,4
1485174758307,4,4
1485174761328,4,4
1485174764860,4,4
1485174768032,4,4
1485174771390,4,4
1485174774427,4,4
1485174777489,4,4
1485174780520,4,4
1485174783992,4,4
1485174788792,4,4
1485174791968,4,4
1485174795672,4,4
1485174798968,4,4
1485174802460,4,4
1485174805996,4,4
1485174809071,4,4
1485174812147,4,4
1485174815411,4,4
1485174819951,4,4
1485174823230,4,4
1485174826525,4,4
1485174831473,4,4
1485174834627,4,4
1485174837735,4,4
1485174840844,4,4
1485174844924,4,4
1485174848643,4,4
1485174851917,4,4
1485174855399,4,4
1485174858864,4,4
1485174861890,4,4
1485174866113,4,4
1485174870051,4,4
1485174873141,4,4
1485174876199,4,4
1485174880220,4,4
1485174883509,4,4
1485174887150,4,4
1485174890980,4,4
1485174894264,4,4
1485174897949,4,4
1485174901851,4,4
1485174905161,4,4
1485174908671,4,4
1485174912559,4,4
1485174915951,4,4
1485174919269,4,4
1485174922366,4,4
1485174925445,4,4
1485174928720,4,4
1485174931800,4,4
1485174936219,4,4
1485174939240,4,4
1485174942552,4,4
1485174945855,4,4
1485174949060,4,4
1485174952234,4,4
1485174955653,4,4
1485174959436,4,4
1485174962541,4,4
1485174966053,4,4
1485174969809,4,4
1485174972877,4,4
1485174976257,4,4
1485174980471,4,4
1485174983674,4,4
1485174987021,4,4
1485174990719,4,4
1485174993831,4,4
1485174997107,4,4
1485175001194,4,4
1485175004454,4,4
1485175007476,4,4
1485175011968,4,4
1485175015076,4,4
1485175019611,4,4
1485175023118,4,4
1485175026225,4,4
1485175029864,4,4
1485175033800,4,4
1485175036962,4,4
1485175040704,4,4
1485175044896,4,4
1485175048223,4,4
