timestamp_ms,available_in_bytes,free_in_bytes,total_in_bytes
1485174519759,155196432384,164886110208,190287155200
1485174523619,155181576192,164871254016,190287155200
1485174527116,155168673792,164858351616,190287155200
1485174530140,155157991424,164847669248,190287155200
1485174533324,155146326016,164836003840,190287155200
1485174536326,155135418368,164825096192,190287155200
1485174539733,155122028544,164811706368,190287155200
1485174542773,155107848192,164797526016,190287155200
1485174546059,155094151168,164783828992,190287155200
1485174549078,155076300800,164765978624,190287155200
1485174552772,155066347520,164756025344,190287155200
1485174556114,155051569152,164741246976,190287155200
1485174559133,155038539776,164728217600,190287155200
1485174562317,155023228928,164712906752,190287155200
1485174565416,155025113088,164714790912,190287155200
1485174568743,155010711552,164700389376,190287155200
1485174571769,154992836608,164682514432,190287155200
1485174574670,154983464960,164673142784,190287155200
1485174578099,154974781440,164664459264,190287155200
1485174581390,154962694144,164652371968,190287155200
1485174584476,154964492288,164654170112,190287155200
1485174587503,154960482304,164650160128,190287155200
1485174590721,154976108544,164665786368,190287155200
1485174593964,154959384576,164649062400,190287155200
1485174598605,154930466816,164620144640,190287155200
1485174601860,154919809024,164609486848,190287155200
1485174604900,154934951936,164624629760,190287155200
1485174608411,154932252672,164621930496,190287155200
1485174611673,154915368960,164605046784,190287155200
1485174614715,154899636224,164589314048,190287155200
1485174617734,154883657728,164573335552,190287155200
1485174620758,154874494976,164564172800,190287155200
1485174622971,154864685056,164554362880,190287155200
1485174626479,154864635904,164554313728,190287155200
1485174629868,154849284096,164538961920,190287155200
1485174633051,154834591744,164524269568,190287155200
1485174636209,154838192128,164527869952,190287155200
1485174639672,154837540864,164527218688,190287155200
1485174642687,154823213056,164512890880,190287155200
1485174645706,154831970304,164521648128,190287155200
1485174647965,154829844480,164519522304,190287155200
1485174650987,154823413760,164513091584,190287155200
1485174655267,154817794048,164507471872,190287155200
1485174658743,154809073664,164498751488,190287155200
1485174661842,154794151936,164483829760,190287155200
1485174665012,154810789888,164500467712,190287155200
1485174668070,154804310016,164493987840,190287155200
1485174671177,154837041152,164526718976,190287155200
1485174674502,154823536640,164513214464,190287155200
1485174679394,154812129280,164501807104,190287155200
1485174682490,154797002752,164486680576,190287155200
1485174685600,154780004352,164469682176,190287155200
1485174689029,154763788288,164453466112,190287155200
1485174692466,154748379136,164438056960,190287155200
1485174695210,154736345088,164426022912,190287155200
1485174698603,154717773824,164407451648,190287155200
1485174702095,154702319616,164391997440,190287155200
1485174705213,154688761856,164378439680,190287155200
1485174708720,154668457984,164358135808,190287155200
1485174712916,154648182784,164337860608,190287155200
1485174715990,154625318912,164314996736,190287155200
1485174720338,154623680512,164313358336,190287155200
1485174722780,154621726720,164311404544,190287155200
1485174726663,154608943104,164298620928,190287155200
1485174728809,154598412288,164288090112,190287155200
1485174732424,154581954560,164271632384,190287155200
1485174735587,154566303744,164255981568,190287155200
1485174738646,154549190656,164238868480,190287155200
1485174742964,154535264256,164224942080,190287155200
1485174745455,154519355392,164209033216,190287155200
1485174748472,154517950464,164207628288,190287155200
1485174751486,154515107840,164204785664,190287155200
1485174756105,154487431168,164177108992,190287155200
1485174759219,154468585472,164158263296,190287155200
1485174761315,154470825984,164160503808,190287155200
1485174766069,154449129472,164138807296,190287155200
1485174769129,154428727296,164118405120,190287155200
1485174772856,154447167488,164136845312,190287155200
1485174776579,154445602816,164135280640,190287155200
1485174780365,154462138368,164151816192,190287155200
1485174783823,154452582400,164142260224,190287155200
1485174787124,154463862784,164153540608,190287155200
1485174790588,154454601728,164144279552,190287155200
1485174793719,154446692352,164136370176,190287155200
1485174798109,154425475072,164115152896,190287155200
1485174801695,154421702656,164111380480,190287155200
1485174805114,154413527040,164103204864,190287155200
1485174808160,154398310400,164087988224,190287155200
1485174811468,154387509248,164077187072,190287155200
1485174814962,154368405504,164058173440,190287155200
1485174818181,154351603712,164041281536,190287155200
1485174821957,154337226752,164026904576,190287155200
1485174825074,154316845056,164006522880,190287155200
1485174828261,154297872384,163987550208,190287155200
1485174830899,154279542784,163969220608,190287155200
1485174834486,154275581952,163965259776,190287155200
1485174837664,154252693504,163942371328,190287155200
1485174840772,154246115328,163935793152,190287155200
1485174843855,154233372672,163923050496,190287155200
1485174848285,154209976320,163899654144,190287155200
1485174851726,154197426176,163887104000,190287155200
1485174858408,154218000384,163907678208,190287155200
1485174861879,154191581184,163881259008,190287155200
1485174864925,154171617280,163861295104,190287155200
1485174868183,154162999296,163852677120,190287155200
1485174872906,154164654080,163854331904,190287155200
1485174875494,154149462016,163839139840,190287155200
1485174879381,154131255296,163820933120,190287155200
1485174883507,154129027072,163818704896,190287155200
1485174886523,154109005824,163798683648,190287155200
1485174890044,154079657984,163769335808,190287155200
1485174893990,154053001216,163742679040,190287155200
1485174897278,154037035008,163726712832,190287155200
1485174901012,154038861824,163728539648,190287155200
1485174904881,154059251712,163748929536,190287155200
1485174908186,154053025792,163742703616,190287155200
1485174911792,154030714880,163720392704,190287155200
1485174915568,154052349952,163742027776,190287155200
1485174918962,154039877632,163729555456,190287155200
1485174922364,154044674048,163734351872,190287155200
1485174925400,154044661760,163734339584,190287155200
1485174928612,154031566848,163721244672,190287155200
1485174935949,154056814592,163746492416,190287155200
1485174939237,154032750592,163722428416,190287155200
1485174942250,154015686656,163705364480,190287155200
1485174945559,154018086912,163707764736,190287155200
1485174948892,154004676608,163694354432,190287155200
1485174952087,154004447232,163694125056,190287155200
1485174955190,154000429056,163690106880,190287155200
1485174958666,154025709568,163715387392,190287155200
1485174962488,154041430016,163731107840,190287155200
1485174965737,154022555648,163712233472,190287155200
1485174969178,154003664896,163693342720,190287155200
1485174972875,153983832064,163673509888,190287155200
1485174976227,154006642688,163696320512,190287155200
1485174980848,153992171520,163681849344,190287155200
1485174983480,154006155264,163695833088,190287155200
1485174986974,153988050944,163677728768,190287155200
1485174990041,153967370240,163657048064,190287155200
1485174993742,153961058304,163650736128,190287155200
1485174997205,153949749248,163639427072,190287155200
1485175000115,153942663168,163632340992,190287155200
1485175004232,153921892352,163611570176,190287155200
1485175007463,153905659904,163595337728,190287155200
1485175010488,153889849344,163579527168,190287155200
1485175014980,153867702272,163557380096,190287155200
1485175018157,153851924480,163541602304,190287155200
1485175021872,153848426496,163538104320,190287155200
1485175026141,153824686080,163514363904,190287155200
1485175029824,153805692928,163495370752,190287155200
1485175032972,153808867328,163498545152,190287155200
1485175036811,153790296064,163479973888,190287155200
1485175040214,153760051200,163449729024,190287155200
1485175043759,153756639232,163446317056,190287155200
1485175047981,153732632576,163422310400,190287155200
1485175051303,153720725504,163410403328,190287155200
1485175054898,153697112064,163386789888,190287155200
1485175059069,153675902976,163365580800,190287155200
1485175062204,153683873792,163373551616,190287155200
1485175065495,153671974912,163361652736,190287155200
1485175069324,153678020608,163367698432,190287155200
1485175072628,153679691776,163369369600,190287155200
1485175075937,153662332928,163352010752,190287155200
1485175079450,153643253760,163332931584,190287155200
1485175082771,153623994368,163313672192,190287155200
1485175086228,153631367168,163321044992,190287155200
1485175090199,153611087872,163300765696,190287155200
1485175093588,153591021568,163280699392,190287155200
1485175096766,153605038080,163294715904,190287155200
1485175100745,153595068416,163284746240,190287155200
1485175103918,153588989952,163278667776,190287155200
1485175107479,153596317696,163285995520,190287155200
1485175114249,153560813568,163250491392,190287155200
1485175117903,153551187968,163240865792,190287155200
1485175122409,153560215552,163249893376,190287155200
1485175125621,153538600960,163228278784,190287155200
1485175128834,153521283072,163210960896,190287155200
1485175132579,153494585344,163184263168,190287155200
1485175135628,153487986688,163177664512,190287155200
1485175139739,153468776448,163158454272,190287155200
1485175143748,153444102144,163133779968,190287155200
1485175146764,153425940480,163115618304,190287155200
1485175150210,153407053824,163096731648,190287155200
1485175154315,153402351616,163092029440,190287155200
1485175157491,153389281280,163078959104,190287155200
1485175160876,153367404544,163057082368,190287155200
1485175164727,153344741376,163034419200,190287155200
1485175167760,153327325184,163017003008,190287155200
1485175171111,153323180032,163012857856,190287155200
1485175175025,153311879168,163001556992,190287155200
1485175178489,153295863808,162985541632,190287155200
1485175181525,153279127552,162968805376,190287155200
1485175185717,153280360448,162970038272,190287155200
1485175189763,153277353984,162967031808,190287155200
1485175193015,153261883392,162951561216,190287155200
1485175196860,153259212800,162948890624,190287155200
1485175200131,153253355520,162943033344,190287155200
1485175203646,153341620224,163031298048,190287155200
1485175207322,153340157952,163029835776,190287155200
1485175210801,153336737792,163026415616,190287155200
1485175214055,153337073664,163026751488,190287155200
1485175217196,153357078528,163046756352,190287155200
1485175220670,153426087936,163115765760,190287155200
1485175223707,153430523904,163120201728,190287155200
1485175228177,153421037568,163110715392,190287155200
1485175232143,153397514240,163087192064,190287155200
1485175235517,153399992320,163089670144,190287155200
1485175238998,153365942272,163055620096,190287155200
1485175242811,153341280256,163030958080,190287155200
1485175246099,153321574400,163011252224,190287155200
1485175249442,153300336640,162990014464,190287155200
1485175253164,153276891136,162966568960,190287155200
1485175256794,153265577984,162955255808,190287155200
1485175260331,153248247808,162937925632,190287155200
1485175264436,153225646080,162915323904,190287155200
1485175267405,153216118784,162905796608,190287155200
1485175271008,153206149120,162895826944,190287155200
1485175275872,153176383488,162866061312,190287155200
1485175278964,153160200192,162849878016,190287155200
1485175282097,153154789376,162844467200,190287155200
1485175286662,153156743168,162846420992,190287155200
1485175289757,153140768768,162830446592,190287155200
1485175293141,153135710208,162825388032,190287155200
1485175296727,153113907200,162803585024,190287155200
1485175300165,153112719360,162802397184,190287155200
1485175303821,153106784256,162796462080,190287155200
1485175307344,153094799360,162784477184,190287155200
1485175310710,153067552768,162757230592,190287155200
1485175313992,153119993856,162809671680,190287155200
1485175317984,153143615488,162833293312,190287155200
1485175321290,153125302272,162814980096,190287155200
1485175324484,153116078080,162805755904,190287155200
1485175327907,153095081984,162784759808,190287155200
1485175331313,153078173696,162767851520,190287155200
1485175334491,153073037312,162762715136,190287155200
1485175338566,153047994368,162737672192,190287155200
1485175341881,153031942144,162721619968,190287155200
1485175345084,153023127552,162712805376,190287155200
1485175349423,153014808576,162704486400,190287155200
1485175352577,153029320704,162718998528,190287155200
1485175355861,153039757312,162729435136,190287155200
1485175359394,153020678144,162710355968,190287155200
1485175362704,153003409408,162693087232,190287155200
1485175365951,152979718144,162669395968,190287155200
1485175369046,152977260544,162666938368,190287155200
1485175373123,152947027968,162636705792,190287155200
1485175377086,152913911808,162603589632,190287155200
1485175380165,152894541824,162584219648,190287155200
1485175383697,152878845952,162568523776,190287155200
1485175387472,152866484224,162556162048,190287155200
1485175390717,152852893696,162542571520,190287155200
1485175394221,152985268224,162674946048,190287155200
1485175397845,152988647424,162678325248,190287155200
1485175401230,152994123776,162683801600,190287155200
1485175404688,153245241344,162934919168,190287155200
1485175408383,153332076544,163021754368,190287155200
1485175411423,153393016832,163082694656,190287155200
1485175414483,153342947328,163032625152,190287155200
1485175420918,153249628160,162939305984,190287155200
1485175423941,153228107776,162917785600,190287155200
1485175427046,153188872192,162878550016,190287155200
1485175430224,153174437888,162864115712,190287155200
1485175433410,153109970944,162799648768,190287155200
1485175436557,153043394560,162733072384,190287155200
