timestamp_ms,available_in_bytes,free_in_bytes,total_in_bytes
1485174277484,155871596544,165561274368,190287155200
1485174280537,155871420416,165561098240,190287155200
1485174283548,155871420416,165561098240,190287155200
1485174286555,155871420416,165561098240,190287155200
1485174289564,155869470720,165559148544,190287155200
1485174292621,155862364160,165552041984,190287155200
1485174295627,155855052800,165544730624,190287155200
1485174298634,155853369344,165543047168,190287155200
1485174301641,155844358144,165534035968,190287155200
1485174303959,155844182016,165533859840,190287155200
1485174307659,155835330560,165525008384,190287155200
1485174310667,155835060224,165524738048,190287155200
1485174313717,155825229824,165514907648,190287155200
1485174316737,155817242624,165506920448,190287155200
1485174319773,155813908480,165503586304,190287155200
1485174322801,155800518656,165490196480,190287155200
1485174325813,155792941056,165482618880,190287155200
1485174328834,155801419776,165491097600,190287155200
1485174331855,155788107776,165477785600,190287155200
1485174335060,155770093568,165459771392,190287155200
1485174337890,155785609216,165475287040,190287155200
1485174340902,155775053824,165464731648,190287155200
1485174343920,155766038528,165455716352,190287155200
1485174346947,155759030272,165448708096,190287155200
1485174349974,155747393536,165437071360,190287155200
1485174353028,155727929344,165417607168,190287155200
1485174356048,155713695744,165403373568,190287155200
1485174359155,155705540608,165395218432,190287155200
1485174362226,155693993984,165383671808,190287155200
1485174365249,155667521536,165357199360,190287155200
1485174368304,155649044480,165338722304,190287155200
1485174371585,155643289600,165332967424,190287155200
1485174374607,155623284736,165312962560,190287155200
1485174377663,155598696448,165288374272,190287155200
1485174380682,155575226368,165264904192,190287155200
1485174383723,155572875264,165262553088,190287155200
1485174386776,155558563840,165248241664,190287155200
1485174389939,155543457792,165233135616,190287155200
1485174392953,155525394432,165215072256,190287155200
1485174395969,155537203200,165226881024,190287155200
1485174398994,155530526720,165220204544,190287155200
1485174402039,155515170816,165204848640,190287155200
1485174405233,155497545728,165187223552,190287155200
1485174408304,155483832320,165173510144,190287155200
1485174412851,155468300288,165157978112,190287155200
1485174415963,155457478656,165147156480,190287155200
1485174419274,155443785728,165133463552,190287155200
1485174422218,155430121472,165119799296,190287155200
1485174425401,155418886144,165108563968,190287155200
1485174429133,155417944064,165107621888,190287155200
1485174432062,155431358464,165121036288,190287155200
1485174435575,155430486016,165120163840,190287155200
1485174438045,155418193920,165107871744,190287155200
1485174441361,155399835648,165089513472,190287155200
1485174445371,155373281280,165062959104,190287155200
1485174448218,155359760384,165049438208,190287155200
1485174450509,155343728640,165033406464,190287155200
1485174454248,155323568128,165013245952,190287155200
1485174457412,155308240896,164997918720,190287155200
1485174460863,155304316928,164993994752,190287155200
1485174464016,155303251968,164992929792,190287155200
1485174467690,155283435520,164973113344,190287155200
1485174470746,155279286272,164968964096,190287155200
1485174474454,155287117824,164976795648,190287155200
1485174477604,155279777792,164969455616,190287155200
1485174480632,155264475136,164954152960,190287155200
1485174483711,155265609728,164955287552,190287155200
1485174486726,155251777536,164941455360,190287155200
1485174489741,155249725440,164939403264,190287155200
1485174492011,155252789248,164942467072,190287155200
1485174495861,155234029568,164923707392,190287155200
1485174499221,155238432768,164928110592,190287155200
1485174502233,155224850432,164914528256,190287155200
1485174505440,155211698176,164901376000,190287155200
1485174508473,155200643072,164890320896,190287155200
1485174511521,155207454720,164897132544,190287155200
1485174514260,155215826944,164905504768,190287155200
1485174517267,155204263936,164893941760,190287155200
1485174520361,155194617856,164884295680,190287155200
1485174523582,155182010368,164871688192,190287155200
1485174527004,155167711232,164857389056,190287155200
1485174530131,155157991424,164847669248,190287155200
1485174533328,155146326016,164836003840,190287155200
1485174536341,155135418368,164825096192,190287155200
1485174539735,155122028544,164811706368,190287155200
1485174542764,155107848192,164797526016,190287155200
1485174546011,155094433792,164784111616,190287155200
1485174549227,155074359296,164764037120,190287155200
1485174552698,155066519552,164756197376,190287155200
1485174556117,155051569152,164741246976,190287155200
1485174559135,155038539776,164728217600,190287155200
1485174562378,155022962688,164712640512,190287155200
1485174565400,155025113088,164714790912,190287155200
1485174568744,155010711552,164700389376,190287155200
1485174571772,154992836608,164682514432,190287155200
1485174574668,154983464960,164673142784,190287155200
1485174578118,154974781440,164664459264,190287155200
