timestamp_ms,delete_total,index_failed,index_total,noop_update_total
1485174277722,0,0,0,0
1485174280768,0,0,0,0
1485174283784,0,0,0,0
1485174286793,0,0,0,0
1485174289808,0,0,121,0
1485174292817,0,0,193,0
1485174295826,0,0,356,0
1485174298836,0,0,356,0
1485174301843,0,0,514,0
1485174304868,0,0,514,0
1485174307890,0,0,720,0
1485174310899,0,0,720,0
1485174313909,0,0,1050,0
1485174316928,0,0,1150,0
1485174319940,0,0,1260,0
1485174322963,0,0,1485,0
1485174325974,0,0,1489,0
1485174328984,0,0,1509,0
1485174332012,0,0,1775,0
1485174335058,0,0,1815,0
1485174338074,0,0,1815,0
1485174341087,0,0,2168,0
1485174344109,0,0,2296,0
1485174347289,0,0,2296,0
1485174350352,0,0,2488,0
1485174353375,0,0,2556,0
1485174356391,0,0,2777,0
1485174359458,0,0,2777,0
1485174362486,0,0,2777,0
1485174365508,0,0,2959,0
1485174368729,0,0,3145,0
1485174371879,0,0,3145,0
1485174374912,0,0,3216,0
1485174377950,0,0,3385,0
1485174381201,0,0,3554,0
1485174384300,0,0,3554,0
1485174387318,0,0,3829,0
1485174390349,0,0,4006,0
1485174393648,0,0,4006,0
1485174396665,0,0,4006,0
1485174399714,0,0,4249,0
1485174402762,0,0,4250,0
1485174405778,0,0,4365,0
1485174408805,0,0,4396,0
1485174412456,0,0,4429,0
1485174415945,0,0,4545,0
1485174419082,0,0,4668,0
1485174422333,0,0,4767,0
1485174425398,0,0,4852,0
1485174429130,0,0,4954,0
1485174432387,0,0,5066,0
1485174435567,0,0,5203,0
1485174438586,0,0,5316,0
1485174441748,0,0,5430,0
1485174444853,0,0,5516,0
1485174448398,0,0,5601,0
1485174451504,0,0,5707,0
1485174454660,0,0,5788,0
1485174457679,0,0,5918,0
1485174460858,0,0,5994,0
1485174463887,0,0,6082,0
1485174468491,0,0,6235,0
1485174471546,0,0,6344,0
1485174474576,0,0,6467,0
1485174477598,0,0,6555,0
1485174480615,0,0,6634,0
1485174483688,0,0,6772,0
1485174486731,0,0,6870,0
1485174489761,0,0,6975,0
1485174492814,0,0,7057,0
1485174495842,0,0,7165,0
1485174499167,0,0,7253,0
1485174502252,0,0,7390,0
1485174505434,0,0,7490,0
1485174508451,0,0,7597,0
1485174511634,0,0,7721,0
1485174514650,0,0,7809,0
1485174517673,0,0,7949,0
1485174520689,0,0,8043,0
1485174523714,0,0,8155,0
1485174526976,0,0,8286,0
1485174530128,0,0,8374,0
1485174533337,0,0,8530,0
1485174536354,0,0,8655,0
1485174539693,0,0,8720,0
1485174542762,0,0,8823,0
1485174546004,0,0,8899,0
1485174549071,0,0,9005,0
1485174552695,0,0,9090,0
1485174556165,0,0,9188,0
1485174559183,0,0,9248,0
1485174562311,0,0,9344,0
1485174565421,0,0,9420,0
1485174568869,0,0,9486,0
1485174571888,0,0,9561,0
1485174574918,0,0,9642,0
1485174578089,0,0,9728,0
1485174581442,0,0,9803,0
1485174584471,0,0,9884,0
1485174587491,0,0,9956,0
1485174590715,0,0,10050,0
1485174594006,0,0,10164,0
1485174598576,0,0,10339,0
1485174601851,0,0,10475,0
1485174605383,0,0,10608,0
1485174608406,0,0,10690,0
1485174611662,0,0,10802,0
1485174614698,0,0,10894,0
1485174617727,0,0,10996,0
1485174620754,0,0,11102,0
1485174623790,0,0,11162,0
1485174626809,0,0,11260,0
1485174629889,0,0,11337,0
1485174633045,0,0,11403,0
1485174636204,0,0,11448,0
1485174639278,0,0,11537,0
1485174642683,0,0,11619,0
1485174645701,0,0,11687,0
1485174648720,0,0,11762,0
1485174651853,0,0,11821,0
1485174655263,0,0,11902,0
1485174658738,0,0,11998,0
1485174661838,0,0,12081,0
1485174664932,0,0,12179,0
1485174668022,0,0,12270,0
1485174671081,0,0,12386,0
1485174674479,0,0,12505,0
1485174679862,0,0,12717,0
1485174682900,0,0,12838,0
1485174686191,0,0,12938,0
1485174689597,0,0,13058,0
1485174692778,0,0,13212,0
1485174695866,0,0,13286,0
1485174699155,0,0,13388,0
1485174702176,0,0,13485,0
1485174705202,0,0,13556,0
1485174708694,0,0,13690,0
1485174713681,0,0,13879,0
1485174716914,0,0,13995,0
1485174720304,0,0,14086,0
1485174723478,0,0,14170,0
1485174726554,0,0,14249,0
1485174729679,0,0,14298,0
1485174733087,0,0,14389,0
1485174736250,0,0,14470,0
1485174739426,0,0,14587,0
1485174742959,0,0,14689,0
1485174746037,0,0,14780,0
1485174749165,0,0,14856,0
1485174752226,0,0,14924,0
1485174756088,0,0,15009,0
1485174759115,0,0,15097,0
1485174762259,0,0,15178,0
1485174765956,0,0,15285,0
1485174769080,0,0,15377,0
1485174772687,0,0,15515,0
1485174776564,0,0,15591,0
1485174780348,0,0,15694,0
1485174783626,0,0,15797,0
1485174787115,0,0,15890,0
1485174790551,0,0,16002,0
1485174793698,0,0,16098,0
1485174798049,0,0,16298,0
1485174801669,0,0,16412,0
1485174804960,0,0,16487,0
1485174808148,0,0,16615,0
1485174811460,0,0,16734,0
1485174814805,0,0,16833,0
1485174818014,0,0,16931,0
1485174821888,0,0,17020,0
1485174825014,0,0,17110,0
1485174828099,0,0,17191,0
1485174831272,0,0,17263,0
1485174834472,0,0,17333,0
1485174837635,0,0,17449,0
1485174840950,0,0,17582,0
1485174843970,0,0,17670,0
1485174848278,0,0,17788,0
1485174851839,0,0,17906,0
1485174854936,0,0,18024,0
1485174858674,0,0,18094,0
1485174861871,0,0,18163,0
1485174864920,0,0,18229,0
1485174868159,0,0,18306,0
1485174872792,0,0,18417,0
1485174875914,0,0,18468,0
1485174879371,0,0,18540,0
1485174883217,0,0,18603,0
1485174886542,0,0,18678,0
1485174890023,0,0,18760,0
1485174894711,0,0,18913,0
1485174897794,0,0,18975,0
1485174900828,0,0,19025,0
1485174904663,0,0,19095,0
1485174908169,0,0,19190,0
1485174911763,0,0,19264,0
1485174915603,0,0,19323,0
1485174918944,0,0,19408,0
1485174922373,0,0,19463,0
1485174925965,0,0,19544,0
1485174929385,0,0,19635,0
1485174936095,0,0,19772,0
1485174939139,0,0,19822,0
1485174942356,0,0,19862,0
1485174945671,0,0,19956,0
1485174948952,0,0,20010,0
1485174952124,0,0,20092,0
1485174955148,0,0,20178,0
1485174958790,0,0,20263,0
1485174962399,0,0,20346,0
1485174965545,0,0,20464,0
1485174969096,0,0,20562,0
1485174972478,0,0,20665,0
1485174976074,0,0,20766,0
1485174980812,0,0,20874,0
1485174983860,0,0,20947,0
1485174986884,0,0,21042,0
1485174990090,0,0,21093,0
1485174993704,0,0,21187,0
1485174996842,0,0,21272,0
1485175000791,0,0,21365,0
1485175004284,0,0,21428,0
1485175007328,0,0,21514,0
1485175010822,0,0,21610,0
1485175014934,0,0,21709,0
1485175018107,0,0,21774,0
1485175021750,0,0,21888,0
1485175026123,0,0,22007,0
1485175029232,0,0,22101,0
1485175033074,0,0,22205,0
1485175036845,0,0,22294,0
1485175039930,0,0,22373,0
1485175043737,0,0,22465,0
1485175047951,0,0,22565,0
1485175051366,0,0,22608,0
1485175054940,0,0,22674,0
1485175058920,0,0,22743,0
1485175062181,0,0,22817,0
1485175065477,0,0,22863,0
1485175069435,0,0,22956,0
1485175072457,0,0,22991,0
1485175075933,0,0,23073,0
1485175079390,0,0,23148,0
1485175082728,0,0,23224,0
1485175086789,0,0,23296,0
1485175090253,0,0,23440,0
1485175093598,0,0,23500,0
1485175097400,0,0,23582,0
1485175100633,0,0,23622,0
1485175103767,0,0,23691,0
1485175107453,0,0,23791,0
1485175114022,0,0,23948,0
1485175117849,0,0,24032,0
1485175122401,0,0,24129,0
1485175125420,0,0,24231,0
1485175128851,0,0,24324,0
1485175132572,0,0,24425,0
1485175135601,0,0,24525,0
1485175139472,0,0,24603,0
1485175144079,0,0,24720,0
1485175147099,0,0,24786,0
1485175150322,0,0,24850,0
1485175154318,0,0,24923,0
1485175157474,0,0,24977,0
1485175160956,0,0,25054,0
1485175164718,0,0,25116,0
1485175167748,0,0,25196,0
1485175171230,0,0,25257,0
1485175175062,0,0,25338,0
1485175178129,0,0,25381,0
1485175181497,0,0,25440,0
1485175185708,0,0,25523,0
1485175189301,0,0,25584,0
1485175193109,0,0,25634,0
1485175196853,0,0,25701,0
1485175200128,0,0,25759,0
1485175204063,0,0,25877,0
1485175207693,0,0,25954,0
1485175210724,0,0,26018,0
1485175214039,0,0,26090,0
1485175217200,0,0,26163,0
1485175220772,0,0,26270,0
1485175224582,0,0,26359,0
1485175228151,0,0,26429,0
1485175231575,0,0,26526,0
1485175235443,0,0,26625,0
1485175238934,0,0,26718,0
1485175242484,0,0,26799,0
1485175246091,0,0,26857,0
1485175249691,0,0,26935,0
1485175253105,0,0,27021,0
1485175256806,0,0,27078,0
1485175260251,0,0,27103,0
1485175264617,0,0,27180,0
1485175268116,0,0,27246,0
1485175271136,0,0,27274,0
1485175274702,0,0,27348,0
1485175278959,0,0,27433,0
1485175282040,0,0,27519,0
1485175286173,0,0,27697,0
1485175290084,0,0,27796,0
1485175293139,0,0,27887,0
1485175296643,0,0,27976,0
1485175300786,0,0,28077,0
1485175303814,0,0,28150,0
1485175307373,0,0,28218,0
1485175310690,0,0,28312,0
1485175314029,0,0,28384,0
1485175318129,0,0,28477,0
1485175321416,0,0,28546,0
1485175324433,0,0,28609,0
1485175327902,0,0,28681,0
1485175331306,0,0,28752,0
1485175334484,0,0,28809,0
1485175338505,0,0,28924,0
1485175341825,0,0,28979,0
1485175345071,0,0,29047,0
1485175348971,0,0,29142,0
1485175352821,0,0,29213,0
1485175356202,0,0,29366,0
1485175359478,0,0,29493,0
1485175362690,0,0,29609,0
1485175366010,0,0,29709,0
1485175369067,0,0,29842,0
1485175373112,0,0,29924,0
1485175376964,0,0,30032,0
1485175380235,0,0,30104,0
1485175383771,0,0,30175,0
1485175387468,0,0,30266,0
1485175391141,0,0,30326,0
1485175394521,0,0,30373,0
1485175398132,0,0,30444,0
1485175401238,0,0,30540,0
1485175404769,0,0,30700,0
1485175408397,0,0,30853,0
1485175411412,0,0,31036,0
1485175414483,0,0,31186,0
1485175417639,0,0,31363,0
1485175420921,0,0,31485,0
1485175423991,0,0,31665,0
1485175427016,0,0,31929,0
1485175430210,0,0,32081,0
1485175433403,0,0,32318,0
1485175436559,0,0,32441,0
1485175439590,0,0,32613,0
1485175442884,0,0,32713,0
1485175446246,0,0,32802,0
1485175449268,0,0,32802,0
1485175452308,0,0,33012,0
1485175455438,0,0,33012,0
1485175458579,0,0,33012,0
1485175461606,0,0,33143,0
1485175464623,0,0,33143,0
1485175467666,0,0,33223,0
1485175470793,0,0,33285,0
1485175473810,0,0,33285,0
1485175476822,0,0,33430,0
