timestamp_ms,delete_time_in_millis,index_time_in_millis,throttle_time_in_millis
1485174277722,0,0,0
1485174280768,0,0,0
1485174283784,0,0,0
1485174286793,0,0,0
1485174289808,0,4757,0
1485174292817,0,5997,0
1485174295826,0,8188,0
1485174298836,0,8188,0
1485174301843,0,10817,0
1485174304868,0,10817,0
1485174307890,0,14130,0
1485174310899,0,14130,0
1485174313909,0,19797,0
1485174316928,0,21332,0
1485174319940,0,23520,0
1485174322963,0,29899,0
1485174325974,0,30088,0
1485174328984,0,30602,0
1485174332012,0,37207,0
1485174335058,0,38415,0
1485174338074,0,38415,0
1485174341087,0,43330,0
1485174344109,0,44782,0
1485174347289,0,44782,0
1485174350352,0,47960,0
1485174353375,0,49782,0
1485174356391,0,55080,0
1485174359458,0,55080,0
1485174362486,0,55080,0
1485174365508,0,59823,0
1485174368729,0,67524,0
1485174371879,0,67524,0
1485174374912,0,69368,0
1485174377950,0,74503,0
1485174381201,0,80507,0
1485174384300,0,80507,0
1485174387318,0,83011,0
1485174390349,0,87027,0
1485174393648,0,87027,0
1485174396665,0,87027,0
1485174399714,0,92445,0
1485174402762,0,92585,0
1485174405778,0,100609,0
1485174408805,0,103570,0
1485174412456,0,103776,0
1485174415945,0,113496,0
1485174419082,0,123494,0
1485174422333,0,134010,0
1485174425398,0,146223,0
1485174429130,0,156744,0
1485174432387,0,167199,0
1485174435567,0,177832,0
1485174438586,0,188145,0
1485174441748,0,198251,0
1485174444853,0,209360,0
1485174448398,0,220899,0
1485174451504,0,231840,0
1485174454660,0,242395,0
1485174457679,0,252779,0
1485174460858,0,263989,0
1485174463887,0,274057,0
1485174468491,0,291049,0
1485174471546,0,300899,0
1485174474576,0,312314,0
1485174477598,0,322182,0
1485174480615,0,330761,0
1485174483688,0,342324,0
1485174486731,0,353292,0
1485174489761,0,363809,0
1485174492814,0,373681,0
1485174495842,0,385342,0
1485174499167,0,396715,0
1485174502252,0,406914,0
1485174505434,0,418015,0
1485174508451,0,427947,0
1485174511634,0,439505,0
1485174514650,0,449233,0
1485174517673,0,459997,0
1485174520689,0,469462,0
1485174523714,0,479447,0
1485174526976,0,490813,0
1485174530128,0,501663,0
1485174533337,0,513021,0
1485174536354,0,523824,0
1485174539693,0,533501,0
1485174542762,0,545873,0
1485174546004,0,555743,0
1485174549071,0,567408,0
1485174552695,0,578288,0
1485174556165,0,592622,0
1485174559183,0,600522,0
1485174562311,0,612830,0
1485174565421,0,623383,0
1485174568869,0,634628,0
1485174571888,0,644965,0
1485174574918,0,653981,0
1485174578089,0,665112,0
1485174581442,0,677053,0
1485174584471,0,687088,0
1485174587491,0,696116,0
1485174590715,0,707847,0
1485174594006,0,719098,0
1485174598576,0,736112,0
1485174601851,0,746931,0
1485174605383,0,758383,0
1485174608406,0,768433,0
1485174611662,0,779259,0
1485174614698,0,789460,0
1485174617727,0,799020,0
1485174620754,0,810387,0
1485174623790,0,818611,0
1485174626809,0,828809,0
1485174629889,0,839959,0
1485174633045,0,849601,0
1485174636204,0,861987,0
1485174639278,0,871493,0
1485174642683,0,883868,0
1485174645701,0,893350,0
1485174648720,0,904184,0
1485174651853,0,914905,0
1485174655263,0,925331,0
1485174658738,0,938149,0
1485174661838,0,947908,0
1485174664932,0,958948,0
1485174668022,0,969880,0
1485174671081,0,980979,0
1485174674479,0,991074,0
1485174679862,0,1008983,0
1485174682900,0,1019500,0
1485174686191,0,1031503,0
1485174689597,0,1041861,0
1485174692778,0,1053085,0
1485174695866,0,1062857,0
1485174699155,0,1074797,0
1485174702176,0,1084195,0
1485174705202,0,1093161,0
1485174708694,0,1106277,0
1485174713681,0,1122735,0
1485174716914,0,1134849,0
1485174720304,0,1146106,0
1485174723478,0,1155574,0
1485174726554,0,1165890,0
1485174729679,0,1175383,0
1485174733087,0,1186447,0
1485174736250,0,1197357,0
1485174739426,0,1210222,0
1485174742959,0,1219417,0
1485174746037,0,1231035,0
1485174749165,0,1242687,0
1485174752226,0,1253152,0
1485174756088,0,1265151,0
1485174759115,0,1275809,0
1485174762259,0,1284805,0
1485174765956,0,1295280,0
1485174769080,0,1305792,0
1485174772687,0,1320728,0
1485174776564,0,1331038,0
1485174780348,0,1344687,0
1485174783626,0,1356034,0
1485174787115,0,1369402,0
1485174790551,0,1380363,0
1485174793698,0,1390792,0
1485174798049,0,1403588,0
1485174801669,0,1416956,0
1485174804960,0,1426418,0
1485174808148,0,1437795,0
1485174811460,0,1450203,0
1485174814805,0,1461324,0
1485174818014,0,1472390,0
1485174821888,0,1484750,0
1485174825014,0,1495406,0
1485174828099,0,1504701,0
1485174831272,0,1515879,0
1485174834472,0,1526310,0
1485174837635,0,1536741,0
1485174840950,0,1548708,0
1485174843970,0,1559167,0
1485174848278,0,1573500,0
1485174851839,0,1586442,0
1485174854936,0,1599078,0
1485174858674,0,1608263,0
1485174861871,0,1618875,0
1485174864920,0,1629388,0
1485174868159,0,1639262,0
1485174872792,0,1655587,0
1485174875914,0,1666013,0
1485174879371,0,1677815,0
1485174883217,0,1687981,0
1485174886542,0,1701671,0
1485174890023,0,1713911,0
1485174894711,0,1732244,0
1485174897794,0,1741513,0
1485174900828,0,1751761,0
1485174904663,0,1763577,0
1485174908169,0,1778647,0
1485174911763,0,1788789,0
1485174915603,0,1800695,0
1485174918944,0,1813663,0
1485174922373,0,1823347,0
1485174925965,0,1835488,0
1485174929385,0,1848117,0
1485174936095,0,1871054,0
1485174939139,0,1881990,0
1485174942356,0,1890916,0
1485174945671,0,1903893,0
1485174948952,0,1913777,0
1485174952124,0,1924302,0
1485174955148,0,1935543,0
1485174958790,0,1945171,0
1485174962399,0,1957593,0
1485174965545,0,1968778,0
1485174969096,0,1980455,0
1485174972478,0,1991134,0
1485174976074,0,2003526,0
1485174980812,0,2019300,0
1485174983860,0,2028794,0
1485174986884,0,2039720,0
1485174990090,0,2048462,0
1485174993704,0,2062401,0
1485174996842,0,2073320,0
1485175000791,0,2085723,0
1485175004284,0,2095718,0
1485175007328,0,2108709,0
1485175010822,0,2118406,0
1485175014934,0,2133528,0
1485175018107,0,2142969,0
1485175021750,0,2156589,0
1485175026123,0,2169240,0
1485175029232,0,2178904,0
1485175033074,0,2192108,0
1485175036845,0,2203614,0
1485175039930,0,2215545,0
1485175043737,0,2229284,0
1485175047951,0,2243799,0
1485175051366,0,2252007,0
1485175054940,0,2265142,0
1485175058920,0,2275531,0
1485175062181,0,2288210,0
1485175065477,0,2298689,0
1485175069435,0,2311283,0
1485175072457,0,2321495,0
1485175075933,0,2333302,0
1485175079390,0,2344446,0
1485175082728,0,2357466,0
1485175086789,0,2369426,0
1485175090253,0,2382291,0
1485175093598,0,2392625,0
1485175097400,0,2406107,0
1485175100633,0,2415488,0
1485175103767,0,2428232,0
1485175107453,0,2438595,0
1485175114022,0,2460318,0
1485175117849,0,2474969,0
1485175122401,0,2488678,0
1485175125420,0,2497728,0
1485175128851,0,2509759,0
1485175132572,0,2522380,0
1485175135601,0,2535154,0
1485175139472,0,2545755,0
1485175144079,0,2561435,0
1485175147099,0,2571017,0
1485175150322,0,2581760,0
1485175154318,0,2593918,0
1485175157474,0,2605713,0
1485175160956,0,2617324,0
1485175164718,0,2629144,0
1485175167748,0,2639487,0
1485175171230,0,2649989,0
1485175175062,0,2664477,0
1485175178129,0,2675199,0
1485175181497,0,2685236,0
1485175185708,0,2700330,0
1485175189301,0,2713568,0
1485175193109,0,2720939,0
1485175196853,0,2738691,0
1485175200128,0,2748521,0
1485175204063,0,2761724,0
1485175207693,0,2773488,0
1485175210724,0,2782753,0
1485175214039,0,2794080,0
1485175217200,0,2805104,0
1485175220772,0,2819567,0
1485175224582,0,2832470,0
1485175228151,0,2842874,0
1485175231575,0,2854538,0
1485175235443,0,2868283,0
1485175238934,0,2878499,0
1485175242484,0,2892767,0
1485175246091,0,2901676,0
1485175249691,0,2914000,0
1485175253105,0,2925559,0
1485175256806,0,2938556,0
1485175260251,0,2947466,0
1485175264617,0,2965723,0
1485175268116,0,2975588,0
1485175271136,0,2983474,0
1485175274702,0,2998677,0
1485175278959,0,3011178,0
1485175282040,0,3022257,0
1485175286173,0,3038491,0
1485175290084,0,3049521,0
1485175293139,0,3059985,0
1485175296643,0,3073374,0
1485175300786,0,3086226,0
1485175303814,0,3097403,0
1485175307373,0,3107530,0
1485175310690,0,3118647,0
1485175314029,0,3128684,0
1485175318129,0,3142895,0
1485175321416,0,3152269,0
1485175324433,0,3164159,0
1485175327902,0,3175739,0
1485175331306,0,3185535,0
1485175334484,0,3195191,0
1485175338505,0,3212177,0
1485175341825,0,3220139,0
1485175345071,0,3232366,0
1485175348971,0,3245271,0
1485175352821,0,3257305,0
1485175356202,0,3269921,0
1485175359478,0,3279256,0
1485175362690,0,3290777,0
1485175366010,0,3301108,0
1485175369067,0,3313050,0
1485175373112,0,3326031,0
1485175376964,0,3339412,0
1485175380235,0,3350681,0
1485175383771,0,3361148,0
1485175387468,0,3373752,0
1485175391141,0,3386823,0
1485175394521,0,3398168,0
1485175398132,0,3410561,0
1485175401238,0,3421501,0
1485175404769,0,3434421,0
1485175408397,0,3444778,0
1485175411412,0,3454213,0
1485175414483,0,3463768,0
1485175417639,0,3470352,0
1485175420921,0,3477811,0
1485175423991,0,3484166,0
1485175427016,0,3492389,0
1485175430210,0,3497147,0
1485175433403,0,3505350,0
1485175436559,0,3508561,0
1485175439590,0,3515448,0
1485175442884,0,3520224,0
1485175446246,0,3522970,0
1485175449268,0,3522970,0
1485175452308,0,3529216,0
1485175455438,0,3529216,0
1485175458579,0,3529216,0
1485175461606,0,3530650,0
1485175464623,0,3530650,0
1485175467666,0,3531558,0
1485175470793,0,3532224,0
1485175473810,0,3532224,0
1485175476822,0,3533449,0
